name,n_beds,distance_text,distance_value,duration_in_traffic_text,duration_in_traffic_value,duration_text,duration_value,full_direction,gps,internal_url,external_url,mobile,phone,price,description
Gite de Bellevue,50,290 km,289957,2 hours 53 mins,10362,2 hours 51 mins,10279,"15 Rue du Maine, 61350 Saint-Fraimbault, France","48.485318, -0.694160",http://www.grandsgites.com/gite-61-bellevue-3539.htm,,,02.33.38.78.25,"Gestion libre : None Nuit : 17 € Nuit + Petit-déj : 25 € Demi-pension : 30,50 € Pension complète : 38 €  Taxe de séjour : Incluse Location draps : Inclus Ménage fin de séjour : Non inclus Animaux : Admis Chèques vacances : Oui","
Situé sur la commune de St Fraimbault au cœur du bocage Normand, le gîte de Bellevue a pour objectif de faire découvrir son patrimoine naturel et sa culture locale. Du haut de l'hébergement, on aperçoit un paysage vallonné et verdoyant où prés, talus, haies, chemins creux, bois et cours d'eau sont nombreux : c’est un paysage de bocage ou l'homme continu de façonner ce territoire. Un terrain de jeux, d'échange, de découverte et de convivialité idéal. Le site proche des principaux sites historiques et de loisirs du département permet aussi une approche diversifiée. Dans un joli espace arboré, le gîte possède le label Gîtes de France 3 épis ainsi que le label Tourisme & Handicap."
Le Manoir de Longeau,21,282 km,281931,2 hours 56 mins,10569,2 hours 43 mins,9754,"Longeau, 14400 Crouay, France","49.254382,-0.836646",http://www.grandsgites.com/gite-14-manoir-longeau-1368.htm,,06.83.40.44.45,02.31.22.15.29,"Gestion libre : None  Autres infos : 30% à la réservation, le solde à l'arrivée avec un chèque de caution de 1000/1550 €, non encaissé et restitué la semaine suivant le départ.   Taxe de séjour : Incluse Location draps : Inclus Ménage fin de séjour : 110/195 € Animaux : Admis Chèques vacances : Non","
Dans l'enceinte d'un manoir du 17ème siècle, charme et caractère pour ces deux belles dépendances en pierre.
Bien indépendantes, mais proches l'une de l'autre, la plus grande permet de réunir toute la famille ou les amis dans ses volumes généreux pour les repas et les soirées. Proche de Bayeux et des Plages du Débarquement, le Manoir de Longeau est le point de départ idéal pour partir à la découverte du Bessin et de son terroir normand. C'est aussi un endroit convivial pour célébrer un anniversaire, enterrement de vie de garçon (ou jeune-fille), baptême, mariage en petit comité etc..."
Ecodomaine du Houvre,120,201 km,200919,2 hours 15 mins,8091,2 hours 2 mins,7292,"La Cour de France, 14130 Pierrefitte-en-Auge, France","49.268912, 0.202948",http://www.grandsgites.com/gite-14-domaine-houvre-373.htm,,06.72.71.79.46,02.31.65.01.00," Autres infos : Compte tenu de la complexité des formules et du nombre des hébergements il ne nous est pas possible de donner un tarif général. A titre purement indicatif on peut donner quelques repères, de 13,00€ la nuitée au Village de Yourtes-chalets à 48,00€ en séjour type classe vertes. Forfait WE 48h Pressoir 950,00€, Salle Gandhi 120 place 350,00€. Pour tout projet nous consulter, devis gratuit sous 24h00.  Taxe de séjour : Incluse Location draps : 5 € Ménage fin de séjour : Non inclus Animaux : Admis Chèques vacances : Oui","
Depuis sa création en 1996 l'Ecodomaine du Houvre a évolué vers l'accueil d'un public toujours plus large mais exigeant sur l'authenticité et la qualité de l'environnement. Avec notre capacité de 120 lits répartis en petites unités de vie nous accueillons tout projet qu'il soit familial, associatif, professionnel ou festif. Situé idéalement à dix minutes de la Côte fleurie -Deauville, Honfleur- et accessible par l'A13,l'A28 et l'A29, la SNCF. Ferme pédagogique et conservatoire, sentier Nature, base de loisir nautiques, sentiers pédestres et équestres complètent l'offre dans un cadre architectural de caractère et une nature préservée."
Gite du Perron,14,141 km,140743,2 hours 0 mins,7176,1 hour 47 mins,6438,"140-146 Le Perron, 61300 Saint-Symphorien-des-Bruyères, France","48.786495,0.583702",http://www.grandsgites.com/gite-61-du-perron-2693.htm,,06.75.30.71.03,02.33.84.90.25,Gestion libre : None  Autres infos : Printemps/jour de l'an 1030 € la semaine  Taxe de séjour : Incluse Location draps : Inclus Ménage fin de séjour : 100 € Animaux : Admis Chèques vacances : Oui,"
Bienvenue au Gite du Perron en Normandie, dans une maison traditionnelle de 300 m² avec à disposition coté terrasse, un terrain clos pour la sécurité des petits. Nous vous accueillons avec tout le confort, un grand séjour salle à manger, des chambres avec salle de bains privatives ou pas, une chambre accessible aux personnes handicapées. Les draps et linges de toilette sont fournis."
Gîte de la Potiche,36,311 km,310853,2 hours 45 mins,9921,2 hours 43 mins,9778,"D167, 14690 Pont-d'Ouilly, France","48.8804936,-0.4154688",http://www.grandsgites.com/gite-14-potiche-523.htm,,,02.31.69.86.02,"Gestion libre : None  Autres infos : En option salles d'activités  Taxe de séjour : 0,35 €/pers/nuit Location draps : None Ménage fin de séjour : 130 € Animaux : Admis Chèques vacances : Oui","
Situé en bordure de rivière ""Le Noireau"" à 500 m du bourg, de ses services et de la base de plein air, cette ancienne usine de textile du XIXe siècle a été complétement restaurée en 1987 et réhabilitée en gîte de groupes. "
L'Ancien Presbytère,30,295 km,295240,2 hours 39 mins,9546,2 hours 37 mins,9423,"35 Le Bourg, 61210 Champcerie, France","48.7989065,-0.2246082",http://www.grandsgites.com/gite-61-ancien-presbytere-351.htm,,06.51.05.08.04,02.33.36.03.96,"Gestion libre : De 25 à 40 €/nuit et par personne selon durée, saison et nombre d'occupants  Taxe de séjour : Incluse Location draps : 7,50 €/pers. Ménage fin de séjour : 220 € Animaux : Non admis Chèques vacances : Non","
Situé dans un écrin de verdure, le Presbytère de Champcerie vous
offre la possibilité de déconnecter et vivre des instants magiques. Cette demeure vous livrera tous ses secrets lors de vos week-ends ou semaine en groupe, en famille. A deux pas de la Suisse Normande, près du Lac de Rabodanges, les activités sont nombreuses. Séminaires, motards, randonneurs, famille, cousinade, mariage, baptême, communion, associations bienvenues. Formule chambres d'hôtes en semaine."
Les Muguets,13,220 km,219505,2 hours 24 mins,8631,2 hours 11 mins,7840,"26-28 D513, 14640 Villers-sur-Mer, France","49.320416, -0.005771",http://www.grandsgites.com/gite-14-muguets-3210.htm,,,06.61.18.27.52,Gestion libre : None  Autres infos : La haute saison s'applique pour les mois d'avril à août.  Taxe de séjour : Incluse Location draps : Non inclus Ménage fin de séjour : Non inclus Animaux : Non admis Chèques vacances : Non,"
Les Muguets : il s'agit d'une maison Villeroise composée de 3 appartements distincts. Un appartement au rez de chaussée avec 3 chambres, séjour, cuisine une terrasse et petit jardin, au premier étage un second appartement avec terrasse composée d'une chambre d'un séjour, d'une cuisine une salle d'eau et au 2ème étage un troisième logement avec terrasse, composé d'une chambre, d'un séjour cuisine et une salle d'eau. L'immeuble est situé au centre ville de Villers-sur-mer à 200m de la plage.
La salle de séjour du rez de chaussée permet d'accueillir 15 places assises afin que vous preniez vos repas en commun. Le rez de chaussée mesure 65m², le premier étage 55m² et 30m² au deuxième étage soit 150m². 
Vous pourrez profiter du jardin et de son barbecue, la terrasse étant aménagée également pour 15 personnes. 
La cuisine dispose d'un lave vaisselle, d'un four, d'un micro ondes, d'une plaque de cuisson vitrocéramique 4 feux, d'un frigidaire congélateur et de tout le matériel nécessaire pour la préparation des repas pour 15 personnes. Vous disposerez de 3 salle d'eau soit 3 douches et 5 WC. Chaque logement à une terrasse et est aménagé et meublé."
Domaine de Normandie,45,331 km,331332,3 hours 11 mins,11477,3 hours 10 mins,11389,"1 Mochin, 50240 Carnet, France","48.515455, -1.37695",http://www.grandsgites.com/gite-50-domaine-normandie-480.htm,,06.09.66.19.41,02.33.60.88.11,"Gestion libre : None  Autres infos : A la semaine : dégressif en fonction du nombre de personne, nous consulter.  Taxe de séjour : Incluse Location draps : 8 € Ménage fin de séjour : Non inclus Animaux : Oui Chèques vacances : Non","
Au coeur de la Normandie et aux portes de la Bretagne, le domaine est à 18 km du Mont St Michel et à 5 mn de l'A84 (Caen - Rennes). Au calme, le domaine est traversé par la Guerge, jolie rivière de pêche. Dans un parc de 15000 m², c'est l'endroit idéal pour une fête de famille, ou un séjour entre amis...
Venez apprécier le charme de notre manoir du 16ème siècle et le calme de son grand parc arboré où vous pourrez pratiquer de nombreuses activités (animaux poneys, chevaux...)."
Les Goëlettes,15,362 km,361616,3 hours 49 mins,13711,3 hours 34 mins,12866,"1 Rue du Vast, 50760 Barfleur, France","49.668058,-1.268482",http://www.grandsgites.com/gite-50-les-goelettes-1715.htm,,,02.33.43.68.87,"Gestion libre : None  Autres infos : Toutes les charges sont inclus dans les tarifs. (eau, électricité, chauffage).  Taxe de séjour : 0,83 €/nuit/adulte Location draps : 7 €/lit Ménage fin de séjour : 75 à 95 € Animaux : Non admis Chèques vacances : Oui","
Situé à Barfleur dans l'un des plus beaux villages de France, dans le Cotentin dans la Manche et en Normandie, à deux pas du port, des commerces et du GR 223, venez découvrir le charme de notre gîte marin Les Goëlettes et la tranquillité d'un parc planté d'arbres centenaires.
Florence et Dominique Dewasnes vous accueillent dans leur gite de groupe d’étape et de séjour de 15 personnes. Pour vos moments de détente en famille ou entre amis, vous pouvez profiter du tennis ainsi que de la grande pelouse (partie commune aux 3 gîtes). Le spa-jacuzzi vous attend pour une séance de relaxation avec ses jets thérapeutiques (voir les actualités sur notre site). Chacun des gîtes a son parking gratuit dans la propriété pour y garer en toute sécurité vos véhicules.
Tous nos gîtes sont chauffés par géothermie. "
La Maison Neuve,15,344 km,343691,3 hours 18 mins,11881,3 hours 16 mins,11773,"3-9 La Coulonce, 50220 Saint-Loup, France","48.6522047,-1.3166007",http://www.grandsgites.com/gite-50-mais-neuve-829.htm,,06.87.95.06.45,02.33.48.58.07,Gestion libre : None Nuit + Petit-déj : None  Taxe de séjour : Non incluse Location draps : Inclus Ménage fin de séjour : 70 € Animaux : Non admis Chèques vacances : Non,"
Nous vous proposons un séjour agréable, au calme, à proximité de la baie du Mont-Saint-Michel, entre la Normandie et la Bretagne. Venez découvrir notre région verdoyante, le Mont-Saint-Michel, le Scriptorial, le jardin des plantes d'Avranches, les plages, le port de Granville, le cuivre de Villedieu-les-Poêles, le château de Montgommery à Ducey, Cancale, St Malo,... Notre gite est décoré avec gout et confort, grand jardin et parc de chèvres naines, à 4 km du centre commercial et 1 km d'une boulangerie."
