name,n_beds,distance_text,distance_value,duration_in_traffic_text,duration_in_traffic_value,duration_text,duration_value,full_direction,gps,internal_url,external_url,mobile,phone,price,description
Maison Familiale de Semur en Auxois,155,236 km,235999,2 hours 16 mins,8165,2 hours 10 mins,7804,"1 Rue Notre Dame, 21140 Semur-en-Auxois, France","47.4905641,4.3319902",http://www.grandsgites.com/gite-21-maison-familiale-643.htm,,,03.80.97.07.08,"Gestion libre : None Pension complète : None  Autres infos : None  Taxe de séjour : Incluse Location draps : 3,50 € Ménage fin de séjour : Inclus Animaux : Non Chèques vacances : Non","
Structure d'hébergement construite en 2003 située au coeur de Semur en Auxois dans un endroit calme. Ville médiévale de 4500 habitants avec tous les services de proximité (3 supermarchés, hôpital avec service d'urgence, commerces divers, banques..). Sur le site 3 bâtiments : 2 dédiés aux salles de travail et à la partie restauration et 1 bâtiment réservé à l'hébergement. Accès par l'autoroute A6 sortie à 10 km (Beire les Semur), TGV en gare de Montbard à 17 km et transport en bus jusqu'à Semur en Auxois. "
Le gite des Roussis,21,223 km,223150,2 hours 16 mins,8155,2 hours 10 mins,7826,"6-8 Route du Château (Montigny), 89630 Saint-Germain-des-Champs, France","47.392161,3.930524",http://www.grandsgites.com/gite-89-roussis-1113.htm,,06.27.82.8.692,03.86.34.53.28,"Gestion libre : None  Taxe de séjour : 0,76 €/pers./nuit Location draps : Inclus Ménage fin de séjour : 140 € Animaux : Admis 50 € Chèques vacances : Non","
""Le gîte des Roussis"" vous ouvre ses portes. Rénovée par Alexandre en 2010, cette ancienne grange morvandelle est aujourd'hui un beau et grand gîte classé ***** destiné à vous accueillir toute l'année pour un séjour festif en famille ou entre amis. Dans une nature préservée, vous goûterez une paix et des senteurs oubliées et vous vous réveillerez salués par le chant des oiseaux. "
Gite du Moulin Charny,23,133 km,133475,1 hour 26 mins,5168,1 hour 21 mins,4843,"4 D950, 89120 Charny-Orée-de-Puisaye, France","47.885225, 3.095376",http://www.grandsgites.com/gite-89-moulin-charny-2883.htm,,,07.85.56.12.37,"Gestion libre : None  Autres infos : Nous contacter pour tout devis personnalisé.  Taxe de séjour : 0,60 €/nuit/pers. Location draps : 5 € Ménage fin de séjour : 100 € Animaux : Admis Chèques vacances : Non","
Grand gîte sur 2 étages pouvant accueillir jusqu'à 23 personnes. Entièrement refait à neuf an 2015. Situé en plein centre d'un petit village de Bourgogne à 200 m de tous commerces. Boulangeries, épiceries, restaurants, supermarché, traiteur et salle de réception, piscine municipale, plan d'eau. Sur la route des vins entre Beaune et Chablis à seulement 1h30 de Paris. Proche du château Guedelon et de Saint Fargeau. Idéal pour un séjour en famille ou entre amis. Jardin clos de 300 m² à disposition."
La Ferme des Perriaux,15,147 km,146609,1 hour 36 mins,5785,1 hour 31 mins,5465,"3 Rue Arsène Duguyot, 89350 Champignelles, France","47.780008, 3.071234",http://www.grandsgites.com/gite-89-ferme-perriaux-3071.htm,,07.86.09.20.01,03.86.45.17.91,"Gestion libre : Nous consulter Demi-pension : Nous consulter  Autres infos : Nous pouvons réaliser la mise en place de vos tables, vos brunch... N'hésitez pas à nous consulter pour toutes demandes spécifiques.  Taxe de séjour : Incluse Location draps : Inclus Ménage fin de séjour : Inclus Animaux : Non admis Chèques vacances : Oui","
Cousinade, anniversaire, réunion de famille, Mariage...  Pour organiser sans souci votre événement, bénéficiez de nos  5 chambres d'hôtes tout confort avec chacune sa salle de bain, et de la salle de réception de 200 m² avec sa cuisine professionnelle et équipée. Superbe grange de Puisaye de plain pied, avec sa grande cheminée à côté de notre maison d'hôtes. Tout un site à votre disposition.
"
La Bergerie,57,294 km,294308,2 hours 45 mins,9904,2 hours 38 mins,9492,"Chemin de la Rente Saint-Joseph, 21000 Dijon, France","47.303287,4.981139",http://www.grandsgites.com/gite-21-la-bergerie-895.htm,,,03.80.75.62.28,Gestion libre : None  Autres infos : Nous consulter pour les tarifs.  Taxe de séjour : Incluse Location draps : Inclus Ménage fin de séjour : Inclus Animaux : Non admis Chèques vacances : Oui,"
A la campagne dans un parc boisé de 4 ha, plusieurs maisons de caractères à seulement 10 mn du centre de ville de Dijon. Hébergement dans des maisons distinctes de la partie restauration assurant calme et tranquillité. Repas servis dans une salle de restaurant. Une cuisine traditionnelle et généreuse, préparée par nos soins avec des produits de qualité."
La Combe d'Eté,44,296 km,296120,2 hours 53 mins,10387,2 hours 47 mins,10020,"Hameau d'Orches, 21340 Baubigny, France","46.989577,4.691459",http://www.grandsgites.com/gite-21-combe-ete-1692.htm,,,03.80.21.79.66,Gestion libre : Nous consulter Demi-pension : Nous consulter  Autres infos : Nous consulter pour un devis précis.  Taxe de séjour : Non incluse Location draps : Inclus Ménage fin de séjour : Non inclus Animaux : Non admis Chèques vacances : Non,"
Le gite La Combe d'Eté vous accueille pour un séjour en Bourgogne, au coeur du vignoble des Hautes-Côtes de Beaune. Orches est un petit village au sud de la Côte-d'Or, situé sur les contreforts du plateau Bourguignon. Vous apprécierez le confort et la qualité de ce gite aménagé pour recevoir 44 personnes: jolie décoration, chambres de 2 à 8 personnes avec de nombreux sanitaires. Pièces de vie spacieuses, salle de restauration, salon détente, cuisine équipée, nécessaire bébé. Parc arboré. Dégustation, patrimoine, découverte, gastronomie et loisirs de pleine nature."
Relais de Pays,30,233 km,233273,2 hours 12 mins,7931,2 hours 6 mins,7567,"4 Rue de L Hôtel de ville, 21390 Précy-sous-Thil, France","47.3869243,4.3089581",http://www.grandsgites.com/gite-21-relais-pays-374.htm,,,03.80.64.57.18,"Gestion libre : None  Taxe de séjour : 0,20 €/nuit/adulte + 16 ans Location draps : Non Ménage fin de séjour : 60 € en option Animaux : Non Chèques vacances : Oui","
Hébergement de groupes en gestion libre situé au coeur de la Bourgogne dans un cadre agréable près des équipements sportifs et de loisirs (Tennis, Golf, Escalade). "
Gîte d'étape au Mont St Romain,12,369 km,369179,3 hours 38 mins,13059,3 hours 31 mins,12668,"Le Mont Saint-Romain, 71250 Blanot, France","46.492417,4.755593",http://www.grandsgites.com/gite-71-mont-st-romain-1912.htm,,,06 82 57 69 08,"Gestion libre : None Demi-pension : 20€/pers. sur demande   Autres infos : Panier pique-nique: 10 €  Taxe de séjour : 0,60 €/pers./nuit Location draps : 8 € Ménage fin de séjour : 70 € en option Animaux : Admis Chèques vacances : Non","
Situé au sommet du Mont Saint Romain avec vue panoramique à 360°. A deux pas des Grottes de Blanot et du GR76a, ce lieu calme et champêtre n’attend plus que vous, pour une étape ou un séjour en famille ou entre amis..."
La Maison Masson,15,374 km,373888,3 hours 56 mins,14134,3 hours 48 mins,13698,"3 Le Bourg, 71340 Melay, France","46.213823, 4.016480",http://www.grandsgites.com/gite-71-maison-masson-2476.htm,,,06.31.11.50.10,"Gestion libre : None  Taxe de séjour : 0,70 €/nuit/pers. Location draps : 200 € Ménage fin de séjour : 200 € Animaux : Non admis Chèques vacances : Non","
Manoir de 1777 de 400 m² avec décor d'époque très authentique pour vous plonger dans la vie bourgeoise rurale des siècles passée. Le Manoir est situé au coeur du village de Melay au milieu d'un parc de 4000 m² aux arbres centenaires. Avec deux grandes pièces à vivre, 6 chambres et trois salles de bains, la maison peut accueillir confortablement groupes d'amis ou rassemblement familiaux. A l'extérieur, une piscine sécurisée de 6m x 6m, une grande pergola abritant la table d'été et des jeux d'enfants permettent de passer d'agréables moments dans le parc dès les beaux jours venus. A proximité : boulangerie, supérette, restaurants, traiteur, bar tabac presse accessible à pied à quelques minutes de marche seulement. Coté loisirs, la région offre de nombreuses activités sportives et culturelles."
Gîte rural de Varigny,14,250 km,250382,2 hours 45 mins,9907,2 hours 38 mins,9493,"113 Varigny, 58110 Achun, France","47.120997,3.656285",http://www.grandsgites.com/gite-58-varigny-1659.htm,,06.16.70.71.83,06.20.97.80.23,"Gestion libre : None  Autres infos : Chauffage central : 40 €/jour  Taxe de séjour : 0,79 €/nuit/adulte Location draps : 7 €/pers. Ménage fin de séjour : 100 € Animaux : Admis Chèques vacances : Oui","
Cette grande demeure isolée se situe en plein centre nivernais, à moins de 4 km du Canal du Nivernais (Véloroute) et, à 10 km de la base nautique de Baye (location de bateaux, baignade, pêche, voile, catamarans, funboat, planches à voile, chemins de randonnées). Elle est idéale pour les réunions familiales ou entre amis grâce à sa situation centrale (mi-chemin entre Paris et Lyon). Elle plait beaucoup pour son côté authentique, ses vastes pièces. Elle est aménagée sobrement mais dans le respect de son style. Une très grande cour où un marronnier centenaire fait office de parasol géant fera le bonheur des enfants. Boulangerie, épicerie, boucherie-traîteur, restaurants à 4 km.
"
Le Chalet Sainte-Foy,15,373 km,373488,3 hours 59 mins,14311,3 hours 51 mins,13875,"La Garenne, 71110 Sainte-Foy, France","46.285634, 4.126874",http://www.grandsgites.com/gite-71-chalet-sainte-foy-3300.htm,,,06.07.25.84.23,Gestion libre : None  Taxe de séjour : Incluse Location draps : Inclus Ménage fin de séjour : Inclus Animaux : Non admis Chèques vacances : Non,"
En Saône-et-Loire, au cœur du bocage Brionnais et Charolais, gîte dans les dépendances rénovées de la propriété au sein d’un grand parc de 6 hectares dont 3 hectares de bois. Le gite est situé à 25 km de Charolles et Paray-le-Monial, à 9 km de Marcigny. Sur place, une piscine de 13x5m sécurisée, terrasse, barbecue et cour privative. Le lieu est idéal pour un séjour en famille ou entre amis jusqu’à 15 personnes. Vous trouverez calme, tranquillité et confort dans un logement indépendant et complètement équipé. 
"
Gîte de la Roche Bleue,14,393 km,393152,3 hours 34 mins,12864,3 hours 28 mins,12461,"162 Avenue de la Gare, 71960 La Roche-Vineuse, France","46.344903, 4.720162",http://www.grandsgites.com/gite-71-roche-bleue-3366.htm,,06.14.81.21.91,03.85.39.00.95,"Gestion libre : None Nuit + Petit-déj : 50 €/pers.  Autres infos : Nos tarifs incluent les charges (eau, électricité, chauffage, entretien et chauffage piscine), les draps et les serviettes de toilette.  Taxe de séjour : 0,40 €/nuit/pers. Location draps : Inclus Ménage fin de séjour : 160 € Animaux : Admis Chèques vacances : Oui","
Le gîte de la Roche Bleue en Val Lamartinien vous accueille avec charme et confort dans son jardin clos de 2800m² avec piscine privée, sécurisée et chauffée de mai à septembre. Idéalement située à La Roche Vineuse, entre Mâcon et Cluny, venez profiter des multiples atouts touristiques de la Bourgogne du Sud : vignobles, balades, villages typiques, Lamartine et Solutré... La Roche Bleue est une maison de famille de 200 m², lumineuse et pratique, accessible à tous, permettant d’accueillir 4 à 14 personnes, pour se ressourcer en famille ou entre amis. Bébés et séniors sont les bienvenus,
ainsi que les animaux bien élevés."
La Ferme de Chaouen,32,208 km,207965,2 hours 6 mins,7530,2 hours 0 mins,7212,"37 Rue Basse, 89160 Villiers-les-Hauts, France","47.72713,4.148799",http://www.grandsgites.com/gite-89-chaouen-1114.htm,,06.27.82.86.92,03.86.34.53.28,"Gestion libre : None  Taxe de séjour : 0,76 €/pers./nuit Location draps : Inclus Ménage fin de séjour : 240 € Animaux : Admis 50 € Chèques vacances : Non","
La Ferme de Chaouen est une ancienne ferme typiquement bourguignonne située dans le petit village de Fulvy dans le Tonnerrois, près d'Ancy le Franc. Ce beau pays vallonné qui court le long des deux rives de l'Armançon et du canal de Bourgogne est la fois terre viticole et pays de fromages. Il demeure la partie ""Renaissance"" du département avec ses châteaux d'époque, ses anciens lavoirs qui jalonnent cette campagne et fleure bon la Bourgogne séculaire."
Chalet CAF de Vauchignon,30,298 km,297906,2 hours 54 mins,10441,2 hours 48 mins,10073,"26 Les Champs Devant, 21340 Vauchignon, France","46.9763,4.643887",http://www.grandsgites.com/gite-21-chalet-vauchignon-1037.htm,,,03.85.93.10.21,"Gestion libre : Nous consulter  Autres infos : Réservation en ligne sur le site Internet  Taxe de séjour : 0,75 €/nuit/pers. Location draps : Dortoirs sans couvertures Ménage fin de séjour : Le chalet doit être laissé propre Animaux : Non admis Chèques vacances : Non","
Chalets de la FFCAM (Fédération des Clubs Alpins et de Montagnes) gérés par le CAF de Chalon sur Saône. Accessible en Voiture. Non gardé en gestion libre. Couchage en dortoirs sans couvertures. 
Réservé exclusivement aux groupes pratiquant les sports en milieu naturel, escalade, randonnée, VTT, raquettes.
Calme obligatoire après 22h."
Domaine de la Forêt,27,380 km,380155,3 hours 55 mins,14127,3 hours 48 mins,13678,"La Forêt, 71220 Beaubery, France","46.3948975,4.3929648",http://www.grandsgites.com/gite-71-domaine-de-la-foret-44.htm,,,03.85.24.83.58,Gestion libre : Week-end : 47 €/pers.  None None None Du 18 novembre 2016 au 5 mars 2017 : 40 €/pers. (minimum de 12 pers.  + forfait chauffage 50€ pour le weekend)  Autres infos : None  Taxe de séjour : Incluse Location draps : Inclus Ménage fin de séjour : 60 € Animaux : Oui Chèques vacances : Oui,"
Situé au coeur du Charollais en Bourgogne du Sud, le Domaine de la Forêt se trouve à proximité d'un petit village nommé ""Beaubery"" en pleine campagne. Xavier et Béatrice vous accueilleront dans ce magnifique gîte de groupe de plain-pied."
Le Domaine de Poisot,38,297 km,296812,3 hours 19 mins,11969,3 hours 14 mins,11649,"Le Croux, 71190 Broye, France","46.868456, 4.328795",http://www.grandsgites.com/gite-71-le-domaine-de-poisot-476.htm,,06.79.62.28.80,03.85.82.34.12,Gestion libre : None  Autres infos : Les tarifs indiqués sont valables pour l'ensemble du site soit 4 gîtes + la salle de réception.   Taxe de séjour : 1 €/pers./nuit Location draps : 9 €/lit Ménage fin de séjour : Forfait ménage pour l'ensemble du domaine : 411 € Animaux : Non admis Chèques vacances : Non,"
Domaine de Poisot : dans un cadre exceptionnel, avec vue imprenable sur la vallée, le Domaine de Poisot a été conçu sur 8000m² pour l'accueil de groupes : séminaires professionnels, réunions de famille... Le site abrite 4 gîtes indépendants de caractère (pierres apparentes, poutres, tomettes, parquet), accueillant de 4 à 12 pers, 1 salle de réception de 100m² avec sa cuisine équipée traiteur, et une piscine. Prestations de grande qualité : cheminées, cuisines intégrées, TV et DVD... Sentiers de randonnée au pied du domaine. Chauffage + bois inclus. Possibilité forfait ménage. Location draps et linge de toilette."
La Ferme du Château,17,169 km,168641,1 hour 44 mins,6264,1 hour 37 mins,5839,"596 Les Ferriers (Ham), 89170 Saint-Fargeau, France","47.636215, 3.062639",http://www.grandsgites.com/gite-89-fermeduchateau-3213.htm,,,03.86.74.03.76,"Gestion libre : None Nuit + Petit-déj : None  Autres infos : Pour les groupes, possibilité de :  Taxe de séjour : Incluse Location draps : Inclus Ménage fin de séjour : 50 € Animaux : Admis Chèques vacances : Oui","
Gîte de groupe comprenant 17 couchages au sein d'une ferme pédagogique peuplée de tous ses animaux. Cuisine entièrement équipée, salle à manger et coin salon avec canapés et télévision. Au RDC, pièce pour stocker poussettes, vélos... Gîte situé à l'étage, non accessible aux personnes à mobilité réduite. 4 chambres, 3 salles d'eau, 3 WC."
