name,n_beds,distance_text,distance_value,duration_in_traffic_text,duration_in_traffic_value,duration_text,duration_value,full_direction,gps,internal_url,external_url,mobile,phone,price,description
Espace La Tuilerie,55,154 km,153571,1 hour 39 mins,5914,1 hour 32 mins,5518,"2-6 Place de l'Église, 45420 Dammarie-en-Puisaye, France","47.627136,2.872878",http://www.grandsgites.com/gite-45-espace-tuilerie-1416.htm,,06.08.48.31.67,02.38.31.90.96,Gestion libre : Capacité minimum de 33 personnes : week-end ou semaine.  Taxe de séjour : Incluse Location draps : Non inclus Ménage fin de séjour : Non inclus Animaux : Non admis Chèques vacances : Non,"
A 150 km de Paris, dans un cadre naturel, calme et agréable, venez passer un moment exceptionnel et vous ressourcer au coeur de la Puisaye. Que vous souhaitiez visiter notre belle région, passer des moments festifs ou tout simplement vous reposer, la Tuilerie est l'endroit rêvé pour une semaine ou un week-end de détente. "
La Chartreuse du Liget,15,244 km,244394,2 hours 24 mins,8669,2 hours 23 mins,8550,"D760, 37460 Chemillé-sur-Indrois, France","47.1438554,1.1299807",http://www.grandsgites.com/gite-37-chartreuse-liget-746.htm,,,06.48.16.23.92,"Gestion libre : None  Autres infos : Nuitée supplémentaire 150 €  Taxe de séjour : 0,80 €/nuit/pers. Location draps : 10 € Ménage fin de séjour : 140 € Animaux : Admis 20 €/jour Chèques vacances : Non","
Situé au coeur de la Touraine ""Côté Sud"", le gîte de la Chartreuse du Liget fait partie d'un ensemble architectural unique datant du 12ème siècle.
Dans ce lieu d'exception idéalement conçu pour des vacances en famille ou entre amis, vous pourrez trouver à la fois calme, repos et aussi découvrir les richesses du Val de Loire."
Family Ecolodge,70,160 km,159595,1 hour 38 mins,5907,1 hour 32 mins,5511,"Route de la Bordé, 45420 Batilly-en-Puisaye, France","47.615508,2.884468",http://www.grandsgites.com/gite-45-family-ecolodge-1479.htm,,,02.38.31.83.20,Demi-pension : à partir de 49 €/nuit  Autres infos : Pas de gestion libre.  Taxe de séjour : Incluse Location draps : Inclus Ménage fin de séjour : Inclus Animaux : Chiens en laisse et à jour de leurs vaccinations admis Chèques vacances : Oui,"
Family Ecolodge vous accueille dans un cadre nature et une ambiance familiale et décontractée. Vous trouverez des hébergements insolites avec services hôteliers, des salles de réception et une offre complète de restauration pour un week-end facile à organiser, sans contrainte. Vous pouvez louer une partie ou la totalité de l'Ecolodge pour vos réunions de famille, anniversaires, mariages, cousinades. Vous avez ainsi l'assurance d'être tranquilles. Nos hébergements insolites: cabanes perchées, roulottes, safari-lodge, yourtes et chambres d'hôtes. Activités sur place: sauna, trampoline, jeux d'antan en bois Activités à proximité: chantier médiéval de Guédelon, châteaux, descente de la Loire en canoë, parcours dans les arbres...
	"
Château de la Poterie,22,172 km,172221,1 hour 44 mins,6213,1 hour 42 mins,6137,"La Poterie, 41190 Chambon-sur-Cisse, France","47.565303, 1.212790",http://www.grandsgites.com/gite-41-chateau-poterie-3279.htm,,,06.50.31.85.16,"Gestion libre : None Nuit + Petit-déj : Nous consulter Demi-pension : Nous consulter Pension complète : Nous consulter  Autres infos : Pour tout service additionnel, contactez nous. Changement de draps et serviettes de toilette possible pendant votre séjour moyennement un supplément.  Taxe de séjour : 0,33 €/pers./nuit Location draps : Inclus Ménage fin de séjour : Inclus Animaux : Non admis Chèques vacances : Non","
Le château de la Poterie vous accueille pour vos petits événements : réunions de famille, anniversaires, cocktails, séminaires d’entreprise. Au cœur d’un parc arboré de 15 hectares et en bordure de rivière de Cisse (affluent de la Loire), nous vous invitons à venir vivre la vie de château et à profiter du calme et de la discrétion du lieu. Vous disposerez d'une piscine, d'une table de ping-pong et d'un libre accès au parc. Vous pourrez héberger un maximum de 22 personnes dans les deux gîtes de la propriété: Le château et Le Cottage Juliette
"
Gite et salle communale de Boncourt,20,74.3 km,74328,1 hour 9 mins,4125,58 mins,3479,"1 Route de Rouvres, 28260 Boncourt, France","48.84677,1.461985",http://www.grandsgites.com/gite-28-boncourt-2129.htm,,,02.37.41.93.39,"Gestion libre : Pack 2 jours salle communale + une nuit (gîte et maison) : 1000 €  Autres infos : Tarifs salle seule :  Taxe de séjour : 0,99 €/nuit/pers. Location draps : Inclus Ménage fin de séjour : Inclus Animaux : Non admis Chèques vacances : Non","
Sur la commune de Boncourt, gite de 18 couchages et petite maison de 2 couchages, plus une salle communale de 120 personnes avec cuisine. Parking pour environ 80 véhicules."
Domaine d'Anthuay,20,319 km,319389,3 hours 7 mins,11221,3 hours 4 mins,11061,"Anthuai, 36220 Mérigny, France","46.629847, 0.902886",http://www.grandsgites.com/gite-36-domaine-anthuay-2978.htm,,06.85.98.33.97,02.54.37.00.35,"Gestion libre : None  Autres infos : Week-end: du vendredi 16 h au 
dimanche 16 h  Taxe de séjour : Incluse Location draps : Inclus Ménage fin de séjour : 150 € Animaux : Admis Chèques vacances : Non","
Au creux de ses terres, bordées de forêts, sans promiscuité, maison de charme récemment rénovée (2007) avec piscine intérieure (2015) dans un des bâtiments, salle de détente, douches, grande cour intérieure de 3000 m², jardin d'agrément. Venez profiter du  jardin potager et du verger, pêcher à la ligne dans la mare au périmètre sécurisée, prendre le chemin de Compostelle limitant la propriété à vélo ou à pied."
Le Moulin de Mousseau,28,132 km,132225,1 hour 28 mins,5293,1 hour 22 mins,4924,"Chemin du Tertre, 45230 Montbouy, France","47.8468952,2.8228211",http://www.grandsgites.com/gite-45-moulin-mousseau-189.htm,,06.79.94.24.32,02.38.97.52.45,"Gestion libre : None  Autres infos : Location à la semaine, week-ends particuliers (pont sur 4 jours, Noël, Jour de l’An...) : nous consulter  Taxe de séjour : Incluse Location draps : Lits préparés 9 €/lit Ménage fin de séjour : Inclus Animaux : Non Chèques vacances : Non","
A 130 km au sud de Paris, le moulin de Mousseau vous propose des hébergements spacieux, confortables et bien équipés. Rénovées avec soin et respect,  les bâtisses et leurs abords ont conservé leur authenticité. La propriété s’étend sur 4 hectares de prairies et jardins, parcourus de rivières et plans d’eau. L’expérience montre que ce lieu est très propice au séjour de groupes, souvent des associations, qui viennent ici pour pratiquer leur activité de prédilection : artistique, spirituelle ou sportive. Réunions familiales et petits séminaires ont aussi lieu régulièrement. L’omniprésence de l’eau crée une atmosphère paisible et relaxante. A l’inverse, elle rend ce lieu inapproprié aux groupes comportant un effectif important d’enfants jeunes (sécurité). Calme, détente et convivialité assurés dans un site plongé en pleine nature. Toutes commodités néanmoins disponibles à 5 mn en voiture.
"
Gite de la Missandière,20,116 km,115913,1 hour 20 mins,4828,1 hour 14 mins,4460,"La Missandière, 45260 Noyers, France","47.912986, 2.559752",http://www.grandsgites.com/gite-45-missandiere-2231.htm,,,06.09.01.40.27,Gestion libre : Devis sur demande  Taxe de séjour : Incluse Location draps : Inclus Ménage fin de séjour : 80 € Animaux : Admis Chèques vacances : Non,"
Situé sur la route des châteaux de la Loire, à 10 mn de Lorris, tous commerces à proximité, dans les corps de bâtiments de la ferme du château de la Missandière transformé en petit manoir au milieu de 40 ha de terre et de bois, endroit idéal pour la détente et tout évènements festifs. Départ en montgolfière ou statique possible. Bienvenue aux voitures anciennes (le propriétaire est membre du club LVA , du British Classic et du Rover Club). Formule mariage (voiture ancienne avec chauffeur offert) "
Gîte des Aventures,16,167 km,167173,1 hour 41 mins,6036,1 hour 39 mins,5948,"7 Chemin des Aventures, 41000 Blois, France","47.557092, 1.290643",http://www.grandsgites.com/gite-41-aventures-3538.htm,,06.99.23.07.29,02.54.78.88.57,"Gestion libre : None  Autres infos : Les tarifs varient durant les week-ends et les vacances scolaires. Merci de me contacter pour établir un devis.  Taxe de séjour : 1,16 €/pers./nuit Location draps : Inclus Ménage fin de séjour : Inclus Animaux : Admis Chèques vacances : Oui","
Le gîte des Aventures est conçu pour recevoir les groupes dans une ambiance décorative tendance au milieu d'un cadre verdoyant. Situé dans le quartier privilégié de Blois, entre Loire et forêt, le gîte est l'endroit idéal pour se retrouver en famille ou entre amis tout en rayonnant parmi les principaux sites touristiques de la région, le Zoo de Beauval et les Châteaux de la Loire. Vous aurez à votre disposition des équipements haut de gamme pour votre plaisir et vous divertir : une grand piscine doublement sécurisée, un SPA pour 7 personnes, un sauna infrarouge, un salon détente avec TV et canapés, une grande salle à manger conviviale avec des grandes tables, une cuisine entièrement équipée et conçu pour les groupes (frigo américain, vaisselle et batterie de cuisine pour 20 personnes). Les 7 chambres indépendantes sont équipées de literie haut de gamme neuve avec des grands lits de 180x200 ou des lits jumeaux, une chambre enfants entièrement équipée de jeux, déguisements pour le bonheur des petits et plus grands. Tout est réuni pour passer au gite des Aventures un moment inoubliable."
L'Auberge,20,212 km,211966,2 hours 2 mins,7331,2 hours 1 min,7254,"18500 Berry-Bouy, France","47.1101803,2.2976956",http://www.grandsgites.com/gite-18-auberge-310.htm,,,02.48.26.86.19,"Gestion libre : None  Taxe de séjour : Incluse Location draps : 3,35 € Ménage fin de séjour : 97 € Animaux : Non Chèques vacances : Oui","
Gîte d'étape et de séjour de grand confort, l'Auberge, entourée d'espaces de verdure, est située au coeur du bourg de Berry-Bouy."
