name,n_beds,distance_text,distance_value,duration_in_traffic_text,duration_in_traffic_value,duration_text,duration_value,full_direction,gps,internal_url,external_url,mobile,phone,price,description
Ferme du Canal,28,147 km,147407,1 hour 56 mins,6983,1 hour 49 mins,6542,"9 Rue des Martyrs de la Liberati, 10170 Méry-sur-Seine, France","48.511228,3.890645",http://www.grandsgites.com/gite-10-ferme-canal-2509.htm,,,03.25.21.24.33,"Gestion libre : None  Autres infos : Une adhésion annuelle de 20 € est demandée au nom de la personne qui a réservé pour le groupe.  Taxe de séjour : Incluse Location draps : 4,60 €/paire Ménage fin de séjour : 19 €/h Animaux : Admis Chèques vacances : Oui","
Le Gîte Loisirs Méry est une association qui propose la location de la ferme du canal gîte d'étape  en Champagne, dans le village de Méry-sur-Seine, à 30 km de Troyes et 50 km de Provins. Ce gîte est indépendant et ne peut pas être réuni avec l'autre grand gîte de groupe de 60 places qui n'est pas à la même adresse. La ferme du canal est clôturé, vous apprécierez le confort et la propreté. Sur place et sur réservation auprès de l'association, vous pourrez pratiquer: l'équitation dans notre centre équestre situé à 100 mètres et qui est indépendant du gîte, parcourir la vélo-voie qui traverse le village sur votre bicyclette ou faire du Tir à l'arc et enfin profiter des nombreuses visites touristiques à découvrir."
Le Manoir,15,227 km,227168,2 hours 37 mins,9392,2 hours 29 mins,8928,"26 D4, 52220 Montier-en-Der, France","48.4772742,4.7753835",http://www.grandsgites.com/gite-52-le-manoir-315.htm,,,06.84.97.93.31,"Gestion libre : None  Autres infos : Tarifs ci-dessus hors électricité ; Chauffage non inclus  Taxe de séjour : 0,30 € / nuit et personne
 Location draps : 9 € Ménage fin de séjour : 160 € (inclus en semaine juillet/août) Animaux : Non admis Chèques vacances : Non","
Magnifique manoir de la fin XIXème, une maison où il fait bon vivre, à 10 minutes du plus grand lac Artificiel d'Europe, tout près des pistes cyclables, dans un village avec tous commerces et services. Sur place vous visiterez le haras, l'abbatiale. Sur place piscine chauffée."
Ferme de la Renaissance,26,145 km,144555,1 hour 39 mins,5910,1 hour 32 mins,5518,"51 Rue Caroujat Borgniat, 10190 Estissac, France","48.251315, 3.820222",http://www.grandsgites.com/gite-10-ferme-renaissance-2462.htm,,,03.25.40.45.81,Gestion libre : None Demi-pension : Nous consulter  Autres infos : Possibilité de louer la salle de restaurant au rez de chaussée en gestion libre (60 pers.):  Taxe de séjour : Incluse Location draps : Inclus Ménage fin de séjour : 50 € Animaux : Admis Chèques vacances : Non,"
Au cœur du pays d’Othe, à 20 mn de Troyes et 1h30 de Paris, la Ferme de la Renaissance est l’endroit idéal pour se  ressourcer et profiter des activités de plein air (équestres, randonnée pédestre, VTT cyclo). Cette  bâtisse dans le pur style Champenois (briques, craies et poutres en chêne) est l’endroit parfait pour vos week-ends en amoureux, réunions de famille, séminaire, classe verte et centre aéré. Centre équestre et crêperie sur place.
"
La Grange et La Renardière,29,130 km,130094,1 hour 55 mins,6908,1 hour 40 mins,6012,"36 Rue de la Libération, 51270 Champaubert, France","48.879461, 3.776567",http://www.grandsgites.com/gite-51-grange-renardiere-2612.htm,,06.64.26.88.46,03.26.52.74.21,"Gestion libre : Nous consulter  Autres infos : Possibilité de repas traiteur.  Taxe de séjour : None Location draps : Simple 7 € ; Double 10 € Ménage fin de séjour : Inclus Animaux : Admis sous réserve, nous consulter. Chèques vacances : Non","
Située dans la Marne, en Champagne, La Grange et La Renardière, ce sont 2 gîtes mitoyens pour une capacité totale de 29 couchages. Le Grange est aménagée dans une grange entièrement restaurée de l’ancienne ferme familiale. Le lieu est idéal pour les fêtes de famille ou pour les réunions entre amis. Possibilité de louer une salle de 150m² pour 85 personnes assises."
Perle de l'Aube,20,198 km,198249,2 hours 10 mins,7805,2 hours 3 mins,7385,"25 Rue Grande Rue, 10500 Précy-Notre-Dame, France","48.406685, 4.439105",http://www.grandsgites.com/gite-10-perle-aube-3231.htm,,,06.07.58.12.97,Gestion libre : Nous consulter  Autres infos : Nous consulter pour un tarif précis suivant le nombre de personne et la saison.  Taxe de séjour : Non incluse Location draps : 8 € Ménage fin de séjour : 100 € Animaux : Admis Chèques vacances : Non,"
La grande maison de style champenoise en pan de bois et le gite sont situés sur un domaine  de 3 hectares, en bord d'une forêt et d'une  rivière ""l'Aube"" dans le périmètre de la forêt de l'orient, près des lacs. Le domaine met à disposition une salle de réception avec une grande table médiévale pour prendre les repas pouvant accueillir 20 personnes et sa cuisine avec de la place pour danser sur place. Possibilité d'utiliser le barbecue extérieur ou la cheminée intérieur pour griller des cotes de sanglier ou de boeuf. Des traiteurs bio proposent des repas avec les produits de la région à des prix très attractifs. Possibilité de prendre l’apéro sur la terrasse couverte extérieure. Le domaine possède une piscine couverte de 15 x 5 m.
Les  lieux sont  proche  des lacs de la forêt d’orient, à 30 mn de Troyes et 15 mn du parc de Nygloland. A 2 mn vous trouverez une ancienne base militaire transformée pour les sports de delta plane et de  parachutisme et à 12 mns un park accrobranche. Il est également possible de pêcher dans la rivière au bord du domaine ou dans les lacs."
La Ferme des 4 étangs,45,139 km,138701,2 hours 6 mins,7556,1 hour 51 mins,6648,"Unnamed Road, 51270 Montmort-Lucy, France","48.943806, 3.794828",http://www.grandsgites.com/gite-51-ferme-4-etangs-3316.htm,,06.72.97.80.09,03.26.51.43.73,Gestion libre : None  Taxe de séjour : Incluse Location draps : 10 € Ménage fin de séjour : 350 € Animaux : Non admis Chèques vacances : Non,"
Spacieux, pittoresque, confortable, serein voire champêtre, les adjectifs ne manquent pas pour décrire la Ferme des 4 étangs, ancienne étable reconvertie en salle de réception et gîte grande capacité. Sa grande salle permet un aménagement modulable pour les réceptions et les mariages. Grâce à sa terrasse extérieure, ses jardins, vous pourrez accueillir un grand nombre de personnes tout en créant des espaces et des ambiances intimes sur la terrasse. Sa configuration s'adapte parfaitement aux mariages, célébration et toute autre manifestation d'ordre professionnelle ou privée. Dimension salle de 25 m x 8 m,  hauteur de plafond 4 m. Capacité maximale de 130 personnes. Ses 7 chambres à l’étage composées de 45 couchages offrant une grande praticité pour vos convives, employés ou amis. Au RDC: grande salle de 170m² / petite salle de 40m². cuisine aménagée (gestion libre), bar (1 chambre handicapée). A l'étage : 7 chambres (45 couchages) avec lits doubles, lits superposés et lits de 90, salle de bain privative avec WC. Location de draps. Hébergement chevaux.
Location de salle ou du gîte grande Capacité. Pour des évènements professionnels, réunion, séminaire, convention, journée d’étude, 
congrès, représentation de théâtre, formation. Pour des évènements privés
mariage, concert, soirée, réception, cocktail, fête et 
réunion de famille, soirée d’étudiants, anniversaire. Le site est idéal pour l’ornithologie ainsi que pour l'observation des étoiles, aucune lumière de vient concurrencer le ciel"
La Copinière,15,150 km,149619,1 hour 44 mins,6267,1 hour 38 mins,5892,"14 Allée de la Promenade, 10160 Maraye-en-Othe, France","48.1637347,3.8545918",http://www.grandsgites.com/gite-52-la-copiniere-357.htm,,,03.25.74.54.65,"Gestion libre : None  Autres infos : Week-end 2 nuits du vendredi 18h au dimanche  Taxe de séjour : None Location draps : 6,30 €/lit Ménage fin de séjour : 87 € en option Animaux : Non Chèques vacances : Non","
Gîte de groupe pour 15 personnes dans une ancienne fermette champenoise, dans un village au coeur de la forêt d'Othe, à 1h30 de Paris et 25 km de Troyes. Idéal pour les amateurs de séjour au calme, de randonnées en forêt, en famille ou entre amis."
La Renardière,15,130 km,130190,1 hour 56 mins,6941,1 hour 41 mins,6045,"48 Rue des Ormeaux, 51270 Champaubert, France","48.878891, 3.775618",http://www.grandsgites.com/gite-51-la-renardiere-8.htm,,06.64.26.88.46,03.26.52.74.21,Gestion libre : None  Taxe de séjour : None Location draps : 8 € Ménage fin de séjour : Inclus dans le prix Animaux : Oui Chèques vacances : None,"
Gîte aménagé dans une ancienne ferme entièrement rénovée. Idéal pour les fêtes de famille ou pour les réunions entre amis mais aussi pour un séjour au calme. "
Gîte Loisirs Méry,60,147 km,147255,1 hour 56 mins,6964,1 hour 49 mins,6523,"26 Route de Soissons, 10170 Méry-sur-Seine, France","48.510911,3.886536",http://www.grandsgites.com/gite-10-loisirs-mery-2040.htm,,06.83.29.24.83 ,03.25.21.24.33 ,"Gestion libre : None Pension complète : 46,00 €/jour/adulte hors week-end  Autres infos : Une adhésion annuelle de 20 € est demandée au nom de la personne qui a réservé pour le groupe.  Taxe de séjour : Incluse Location draps : 4,60 €/paire Ménage fin de séjour : 19 €/h Animaux : Admis Chèques vacances : Oui","
Le Gîte Loisirs Méry est une association qui propose la location d'un gîte de groupe de 60 places en Champagne, dans le village de Méry-sur-Seine, à 30 km de Troyes et 50 km de Provins. Le gite est un corps de ferme entièrement rénové et clôturé, vous apprécierez le confort et la propreté. Sur place et sur réservation auprès de l'association  vous pourrez pratiquer: l'équitation (dans notre centre équestre), le vélo sur la vélo-voie qui traverse le village, le Tir à l'arc et de nombreuses visites touristiques sont à découvrir."
Gîtes des Ecuries de Chamery,28,163 km,162602,1 hour 54 mins,6812,1 hour 39 mins,5932,"D22, 51500 Chamery, France","49.173666,3.974582",http://www.grandsgites.com/gite-51-ecuries-chamery-1404.htm,,06.87.96.70.69,09.79.06.46.16,"Gestion libre : None  Autres infos : Tarifs gîte 1 chambre: de 300 € le week-end, 350 € le mid-week et 450 € la semaine.  Taxe de séjour : None Location draps : Inclus (lits faits à l'arrivée) Ménage fin de séjour : 25 € Animaux : Non admis Chèques vacances : Oui","
Notre structure se compose de 2 bâtiments séparés au sein d'infrastructures équestres à quelques km de Reims, capitale du champagne. Ils bénéficient tous d'un accès à une piscine intérieure chauffée toute l'année de 9 x 4m. 1er bâtiment à ossature bois: 3 gites de chacun 45 m² pouvant accueillir 4 personnes, composé chacun d'1 chambre avec 2 lits de 1 personne et un clic-clac dans le séjour, salle de bain, cuisine américaine équipée, terrasse individuelle de 20 m², télévision, lave-vaisselle, micro-ondes, wi-fi."
Château de Vaux,23,185 km,185069,1 hour 59 mins,7116,1 hour 52 mins,6714,"Vaux, 10260 Fouchères, France","48.124673, 4.263018",http://www.grandsgites.com/gite-10-chateau-vaux-2861.htm,,,06.33.33.57.94,"Gestion libre : None  Autres infos : Gîtes ouverts toute l'année sans aucun supplément. Tarifs comprenant toutes taxes de séjours, de chauffage, d'eau et d'électricité.  Taxe de séjour : Incluse Location draps : 10 € Ménage fin de séjour : 60 € Animaux : Admis Chèques vacances : Non","
Le gite du Château et le gite de la Ferme sont implantés dans l'enceinte même d'un vaste domaine historique du XVIII ème siècle. Ces deux gites sont disponibles toute l'année pour une location couplée ou séparée en fonction du nombre de convives (de 6 à 23 personnes). Idéalement situés dans un cadre idyllique au milieu d'un incroyable espace naturel préservé, l'accès au Château se fait directement depuis N71 Troyes-Dijon proche du petit village de Fouchères. À 20 mn de Troyes, 15 mn du Lac de la forêt d'Orient, 10 mn du péage A5 et 5 mn du vignoble de la Côte des Bar, ce gîte est l'endroit idéal pour profiter d'un week-end à la campagne tout en profitant de multiples activités (baignade, équitation, golf, tourisme, oenotourisme, chasse)."
