name,n_beds,distance_text,distance_value,duration_in_traffic_text,duration_in_traffic_value,duration_text,duration_value,full_direction,gps,internal_url,external_url,mobile,phone,price,description
Gite de la Sansonnette,60,200 km,199795,2 hours 25 mins,8681,2 hours 12 mins,7913,"470 Vicquetuit, 76450 Bosville, France","49.763089, 0.667942",http://www.grandsgites.com/gite-76-sansonnette-2575.htm,,06.12.82.33.80,02.35.57.04.72,Gestion libre : None Demi-pension : 25 € Pension complète : 31 €  Taxe de séjour : Incluse Location draps : 5 € Ménage fin de séjour : 100 € Animaux : Admis Chèques vacances : Non,"
Le Gite de la Sansonnette est une ancienne bergerie d'une architecture en brique et silex typique du pays de Caux. Cette ancienne bergerie se situe dans un ancien corps de ferme traditionnel de 2,5 ha appelé cour-masure. Cette cour est plantée de pommiers à cidre où pâturent les animaux. Avec sa mare à canards et les talus de hêtres qui délimitent la cour de ferme, cette cour-masure est un exemple du paysage typique cauchois unique en Europe. Service traiteur sur place."
Gite de la Forêt,49,139 km,139234,1 hour 50 mins,6588,1 hour 37 mins,5839,"7 Rue des Déserts, 27670 Saint-Ouen-du-Tilleul, France","49.309022,0.936302",http://www.grandsgites.com/gite-27-foret-1146.htm,,06.12.73.53.39,02.35.78.62.64,Gestion libre : None  Autres infos : Tarifs ci-dessus pour la salle + 42 couchages.  Taxe de séjour : Incluse Location draps : 3 à 5 € Ménage fin de séjour : Inclus Animaux : Non admis Chèques vacances : Oui,"
Gîte de groupes labellisé Gîte de France. Situé à la campagne entre Elbeuf (76) et Bourgthéroulde (27). Au rez de chaussée, vous trouvez une salle de réception de 150 m² pouvant accueillir jusqu'à 100 personnes assises pour des réceptions à caractère familial. Nous vous fournissons les tables, chaises et la vaisselle pour 100 personnes. Vous disposez de 2 WC. Accolé à la salle, vous trouvez un studio accessible aux personnes à mobilité réduite et pouvant accueillir jusqu'à 7 personnes. A l'étage, vous trouverez 9 chambres de 2 à 8 personnes équipées de sanitaires privatifs pour six d'entre elles et d'un sanitaire collectif pour les trois autres. Nous vous fournissons les draps housse, les taies d'oreillers et les oreillers, les couvertures et dessus de lit. Le forfait ménage est inclus dans nos prix. Le gîte jouxte un centre équestre. Possibilité de faire monter les enfants sur réservation."
La Ferme de la Poterie,22,168 km,167892,1 hour 56 mins,6974,1 hour 44 mins,6231,"La Poterie, 27290 Pont-Authou, France","49.249998,0.707818",http://www.grandsgites.com/gite-27-ferme-poterie-1154.htm,,06.81.36.52.67,02.32.57.50.11,Gestion libre : None  Taxe de séjour : None Location draps : 5/7 € Ménage fin de séjour : 100 € Animaux : Admis Chèques vacances : Non,"
En bord de forêt domaniale, entouré par les chevaux dans leurs pâtures, la Ferme de la Poterie accueille ses hôtes dans une maison du 18ème siècle entièrement rénovée, pour accueillir les groupes et les familles désireuses de prendre un peu de repos et de bon temps. Pour votre confort une cuisine entièrement équipée, une salle à manger de 30 personnes, et un salon avec cheminée. Mais surtout 7 chambres avec salle de bain privative."
La Hêtraie,29,171 km,171290,2 hours 8 mins,7664,1 hour 55 mins,6918,"402 Rue de l'Église, 76760 Ectot-l'Auber, France","49.6505983,0.9296858",http://www.grandsgites.com/gite-76-la-hetraie-407.htm,,06.20.43.20.55,02.35.96.84.14,Gestion libre : Nous consulter  Taxe de séjour : None Location draps : Inclus Ménage fin de séjour : Inclus Animaux : Non Chèques vacances : Oui,"
Situé au centre du département, entre Seine et mer, dans un corps de ferme de caractère datant du 18ème siècle, vous serez reçus dans une ancienne grange et manège pouvant recevoir de 20 à 200 personnes avec 29 couchages répartis en 8 chambres. Accessibilité handicapés. Salle de réception de 152 m² et une grange ""jardin couvert"" de 200 m² pour recevoir en vins d'honneur, cocktails,séminaires."
Château de Saint Gervais,35,202 km,201966,2 hours 17 mins,8237,2 hours 4 mins,7465,"51 Annerolles, 27260 Asnieres, France","49.20597,0.405078",http://www.grandsgites.com/gite-27-chateau-st-gervais-1281.htm,,06.19.97.80.06,02.32.46.85.78 / 01.40.87.12.66,"Gestion libre : None  Autres infos : Tarifs ci-dessus pour le château 23 couchages.  Taxe de séjour : 0,50 €/nuit/pers. de + 18 ans Location draps : 8 €/pers. Ménage fin de séjour : 240 € Animaux : Non admis Chèques vacances : Non","
A moins de 2 h de Paris, maison de caractère entièrement rénovée, billard et salles de jeux dans le château, parc de 70 ha, tennis, terrains de boules, trampolines, balançoires... Idéal pour séjourner en famille ou entre amis. 
Gastronomie normande et tous commerces à Cormeilles (6 km), grand parc zoologique à Moyaux (6 km); Abbayes, châteaux et côte normande à 30 km."
La Cascade de Gertrude,48,175 km,175088,2 hours 6 mins,7573,1 hour 54 mins,6813,"300 Rue À l'Eau, 76490 Maulévrier-Sainte-Gertrude, France","49.544793, 0.708732",http://www.grandsgites.com/gite-76-cascade-gertrude-3127.htm,,06.01.40.01.04,09.81.83.97.36,"Gestion libre : None  Autres infos : Location tables rondes : 10 €/table (6 tables disponibles)  Taxe de séjour : 0,50 €/pers./nuit Location draps : 5 € Ménage fin de séjour : 80 € Animaux : Admis Chèques vacances : Oui","
A 2 km de Caudebec en Caux, 35 km de Rouen et 2 heures de Paris, notre gîte est niché dans une charmante vallée, à Maulevrier Sainte-Gertrude, au pied d'une rivière et du Parc Naturel des Boucles de la Seine. Le chemin de randonnée GR 211 sera le point de départ de vos balades."
La Huilerie,15,232 km,232453,2 hours 45 mins,9909,2 hours 31 mins,9078,"9 Rue Lamartine, 76117 Incheville, France","50.018598,1.498924",http://www.grandsgites.com/gite-76-huilerie-1083.htm,,,02.35.50.64.14,Gestion libre : None  Autres infos : Le forfait ménage est obligatoire.  Taxe de séjour : Incluse Location draps : 15 € Ménage fin de séjour : 100 € Animaux : Admis Chèques vacances : Non,"
Faites vous plaisir, créez vos souvenirs au sein d'un véritable écrin de verdure les pieds dans l'eau. Gîte de standing fraichement rénové dans une propriété de famille de 9 hectares avec lac privé et rivières, pinède, prairies. Entre Normandie et Picardie, à 10 mn du Tréport, de la ravissante station balnéaire ""Belle Epoque"" de Mers-les-Bains, au sud de la Baie de Somme et au pied de la forêt d'Eu. Espace et convivialité pour réussir votre séjour entre amis ou en famille. Cheminée et bois, jardin avec vue sur le lac et l'ensemble de la propriété. Salle de jeux et de détente (trampoline géant, baby-foot, jeux), ponton, barque, pêche. Venez profiter des innombrables plaisirs que la nature offre : plages, promenades et randonnées à pied, en vélo ou à cheval, falaises, Baie de Somme, sports nautiques, char à voile, VTT, pêche, ornithologie, sorties, visites...
Autre gîte ""Le Chalet du Pêcheur"" pour 25 personnes et salle de réception, de séminaire sur la même propriété, à l'autre extrémité du lac (500m)."
Gite du Point du Jour,28,155 km,154822,2 hours 16 mins,8138,2 hours 4 mins,7411,"280 Le Point du Jour, 76780 Sigy-en-Bray, France","49.548880, 1.492941",http://www.grandsgites.com/gite-76-point-du-jour-2620.htm,,06.75.52.78.17,09.52.35.07.52,"Gestion libre : None  Taxe de séjour : 0,50 €/nuit/pers. + 13 ans Location draps : 5 € Ménage fin de séjour : 60 €/gite Animaux : Admis sous conditions Chèques vacances : Non","
Au calme, au bord de la rivière l'Andelle et à proximité du village, 2 gites de 14 personnes loués ensemble ou séparément sur une surface de 2000m². Dans 1 gite une salle de 50m² pouvant accueillir 40 personnes pour des réunions de famille, parking dans la cour, situé sur le passage de circuit pédestre et cyclo et à 10 km de la voie verte pouvant rejoindre Dieppe."
Relais Le Rocher,20,96.6 km,96632,1 hour 20 mins,4825,1 hour 9 mins,4141,"7-9 Route de Mestreville, 27950 Saint-Pierre-d'Autils, France","49.129562, 1.429963",http://www.grandsgites.com/gite-27-relais-rocher-3530.htm,,06.15.49.57.35,02.32.52.18.43,"Gestion libre : None  Taxe de séjour : 0,50 €/nuit/pers. Location draps : 100 € Ménage fin de séjour : 100 € Animaux : Non admis Chèques vacances : Non","
Belle maison de maître transformée en gîte. La maison dispose de 9 chambres, 4 salles de bain, un grand salon, une salle à manger une grande cuisine avec tout le nécessaire pour mijoter de bons grands plats, un grand jardin avec barbecue, cage de foot, table de ping pong, balançoire et jeux pour les petits. Grande maison gaie et colorée ambiance chaleureuse et familiale pour un moment de détente à la campagne aux portes de la normandie à 1h de Paris et 1h30 de la côte. C'est votre maison de campagne le temps d'un week-end."
Le Clos Saint-Lucien,18,150 km,149952,2 hours 10 mins,7800,1 hour 58 mins,7072,"557 Route de Nolleval, 76780 Sigy-en-Bray, France","49.507056,1.453326",http://www.grandsgites.com/gite-76-clos-saint-lucien-1411.htm,,06.98.34.06.18,09.67.00.17.75,"Gestion libre : None  Autres infos : Tous nos tarifs sont hors consommables : bois et électricité refacturées à prix coûtant.  Taxe de séjour : 0,50 €/pers./nuit Location draps : Inclus Ménage fin de séjour : Inclus Animaux : Admis - Nous consulter Chèques vacances : Non","
Le Clos Saint-Lucien est situé sur un domaine paysagé et arboré d'un hectare. Ancien manège du 19ème siècle, avec architecture et décoration contemporaine, le Clos Saint-Lucien est un grand gîte de 250 m². Il comprend: un grand salon-salle à manger de 100 m² avec poêle à bois suédois et piano, une cuisine de 21 m² entièrement équipée avec piano de cuisson 5 feux, lave-vaisselle, micro-onde, etc, un grand couloir avec deux sanitaires supplémentaires, 6 chambres dont deux avec salle de douche et WC privatifs, les 4 autres chambres situées en mezzanine au dessus du grand salon bénéficient d'une salle de bain confortable avec baignoire, douche et lavabo double vasque. Un lit bébé + chaise haute. Parking privatif de 10 voitures + possibilité de garer une dizaine de voitures supplémentaires en épis devant la propriété.
Location au week-end et à la semaine. Possibilité d'organiser des fêtes familiales, des mariages, des séminaires. En options illuminations extérieures, ambiances lumineuses intérieures, sono, nappages, vaisselles et tonnelle pour 40 personnes.
"
