name,n_beds,distance_text,distance_value,duration_in_traffic_text,duration_in_traffic_value,duration_text,duration_value,full_direction,gps,internal_url,external_url,mobile,phone,price,description
Gite De Cinq Ans,18,177 km,176586,1 hour 49 mins,6533,1 hour 48 mins,6465,"2-8 Rue de Cinq Ans, 72600 Mamers, France","48.351499,0.371582",http://www.grandsgites.com/gite-72-de5ans-2664.htm,,06.26.86.43.06,02.43.34.31.74,Gestion libre : None  Autres infos : La formule semaine inclut un forfait électricité de 10kw/jour sur les Petit et Mimi gîtes ; un forfait gaz de 5kw/jour pour le Grand gîte.  Taxe de séjour : Non incluse Location draps : Inclus et les lits sont faits Ménage fin de séjour : Week-end 85€ - Semaine 110€ - pour les 3 gîtes Animaux : Non admis Chèques vacances : Oui,"
Bienvenue au Gite De Cinq Ans où nous vous accueillons dans 3 maisons indépendantes. Nos hébergements ont été rénovés dans le respect de l'écologie, les matériaux sont naturels, la qualité est présente, le rendu des murs enduits de chaux et la déco personnalisée dans les camaïeux très nature de gris et blanc donnent un charme unique à nos gites. Par ailleurs, le calme, la proximité des commerces et des équipements de loisirs et randonnée, l'offre culturelle de la région, tout est réuni pour vous offrir un séjour de qualité."
Gîte de l'Hermitage,20,384 km,383838,3 hours 28 mins,12472,3 hours 26 mins,12359,"17 Rue de Bellevue, 44290 Guémené-Penfao, France","47.6271364,-1.8175507",http://www.grandsgites.com/gite-44-l-hermitage-59.htm,,,02.40.79.23.48,"Gestion libre : None  Autres infos : De octobre à juin : + 2 €/pers. pour le chauffage en +  Taxe de séjour : 0,30 €/pers./nuit Location draps : None Ménage fin de séjour : 95 € Animaux : Non Chèques vacances : Oui","
Dans un cadre de verdure, au Pays des Trois Rivières, gite de groupe de 400 m² pour 20 personnes à 30 mn de Nantes, 30 mn de Rennes, 45 mn de la Baule. Repas en groupe possible jusqu'à 35 personnes. Possibilités de couchages supplémentaire en mobile-home ou tentes. Sur le site, piscine chauffée de mi-juin à fin septembre (selon la météo) avec un toboggan aquatique."
Le Logis de Bourseguin,20,438 km,437663,3 hours 50 mins,13807,3 hours 47 mins,13641,"7 Rue du Logis, 85200 Bourneau, France","46.549763,-0.8325",http://www.grandsgites.com/gite-85-logis-bourseguin-1643.htm,,06.77.73.35.00,02.51.00.06.61,Gestion libre : None  Autres infos : Nous consulter pour un tarif précis.  Taxe de séjour : Incluse Location draps : Inclus Ménage fin de séjour : Inclus Animaux : Non admis Chèques vacances : Oui,"
En sud Vendée à côté de la forêt de Mervent, entre La Rochelle, le Marais Poitevin et le Puy du Fou, Le Logis de Bourseguin se compose de deux gîtes. Le Logis, grand gîte élégant et spacieux avec 5 chambres pour 12 personnes et Les Lavandes, gîte tout confort pour 7 personnes situé dans la cour du Logis. Vous pourrez profiter de notre belle piscine chauffée et du grand parc clos et arboré avec ses activités pour tous: jeux d'enfants, badminton, croquet, trampoline et ping-pong,... et beaucoup d'espace pour se détendre. Des vélos vous sont proposés gratuitement pour la découverte du bocage et de la forêt."
Domaine Saint-Sauveur,108,391 km,390724,3 hours 38 mins,13089,3 hours 36 mins,12959,"Saint-Sauveur, 85390 Mouilleron-en-Pareds, France","46.678509, -0.841419",http://www.grandsgites.com/gite-85-domaine-saint-sauveur-3354.htm,,07.89.58.51.02,02.51.87.56.78,"Gestion libre : Nous consulter Demi-pension : Nous consulter  Autres infos : Tarifs sur demande selon particuliers, groupes, classes découvertes ou colonie sous convention.  Taxe de séjour : 0,44 €/nuit/pers. Location draps : Non inclus Ménage fin de séjour : Non inclus Animaux : Non admis Chèques vacances : Non","
Ancien centre de formation de séminaristes Construit en 1843, le Domaine Saint-Sauveur a été transformé en centre d'hébergement et restauration tous publics par la Communauté de Communes de La Châtaigneraie. Aujourd'hui, il permet d'accueillir tout au long de l'année tous types d'événements (mariage, fête familiale, marché à thème, séminaire d'entreprise, spectacle, etc.), pour tous publics (particuliers, scolaires avec ou sans programme d'animation, colonie, CE, groupe divers, etc.). Sur un parc de 1 hectare entièrement clos, nous disposons également d'un sous-bois ombragé abritant un mini-golf ainsi qu'un bowling extérieur."
Le Moulin du Bas Coudray,29,267 km,266948,2 hours 21 mins,8475,2 hours 20 mins,8384,"Passage À Niveau de Lesnaudie, 53940 Le Genest-Saint-Isle, France","48.091713,-0.902716",http://www.grandsgites.com/gite-53-bas-coudray-2429.htm,,06.86.69.77.37,02.43.02.13.99,Gestion libre : None  Taxe de séjour : Incluse Location draps : Non inclus Ménage fin de séjour : Non inclus Animaux : Admis Chèques vacances : Oui,"
Bienvenue au gite du Bas Coudray, un ancien moulin au bord du Vicoin dans la campagne Genestoise. Vous apprécierez sans doute le plancher vitré du salon permettant de voir passer l'eau sous ses pieds. Le site est verdoyant, reposant calme, la roue du moulin tourne au gré du courant, le lieu est idéal pour se retrouver en famille, profiter de ses amis et faire la fête. Un chapiteau pouvant accueillir 130 personnes est disponible. Piscine chauffée semi couverte 10 x 5m en option à partager avec les propriétaires."
Domaine Les Rousselières,50,430 km,430222,3 hours 46 mins,13569,3 hours 44 mins,13419,"Unnamed Road, 85340 Olonne-sur-Mer, France","46.540834, -1.734562",http://www.grandsgites.com/gite-85-domaine-rousselieres-2962.htm,,06.44.30.62. 40,02.51.95.33.08," Autres infos : Nous contacter pour un devis personnalisé suivant la formule choisie.  Taxe de séjour : 0,33 €.pers./nuit Location draps : 10 € Ménage fin de séjour : En option Animaux : Admis Chèques vacances : Oui","
Idéalement situé à 5 mn des Sables d'Olonne et de toutes visites, activités culturelles et sportives (terre et mer). Le Domaine Les Rousselières, c'est l'alliance de la nature et de la mer. La quiétude du lieu vous invite à la détente. Mettez le quotidien entre parenthèses pour le temps que vous aurez choisi (location à partir d'une nuitée). 50 couchages vous attendent, répartis en 5 gites à la décoration soignée et 3 mobil homes tout confort. Attenante aux hébergements, une salle de réception (60 pers.) avec vaisselle, cuisine équipée. Pas de limite d'horaire. Le tout au cœur d'un parc de 2 ha luxuriant et fleuri avec piscine chauffée de juin à septembre. Ping pong, badminton et balançoires. Le parc accueille également nos chevaux et poneys pour la joie de tous."
Domaine des fours à chaux,26,303 km,302705,2 hours 47 mins,10049,2 hours 46 mins,9949,"Unnamed Road, 49400 Saumur, France","47.229580, -0.028163",http://www.grandsgites.com/gite-49-fours-chaux-3331.htm,,06.19.92.13.20,02.41.67.09.02," Autres infos : De 380 € à 2500 € ; nombreuses possibilités de 3 à 26 personnes, avec ou sans salle de réception, suivant période. Devis détaillé sur demande.  Taxe de séjour : Non incluse Location draps : Non inclus Ménage fin de séjour : Non inclus Animaux : Admis 30 € Chèques vacances : Non","
A Saumur (3 km du centre ville) au cœur du vignoble, en lisière de foret, avec une vue merveilleuse sur la vallée de la Loire, au centre d'un parc de 8 ha, ensemble de deux maisons tout confort avec salle de réception entièrement équipée attenante (30/60 personnes assises)."
Gites de la Douce Vie,45,252 km,252040,2 hours 21 mins,8485,2 hours 21 mins,8435,"Route de Châteauneuf, 49330 Contigné, France","47.722079, -0.517775",http://www.grandsgites.com/gite-49-douce-vie-2266.htm,,06.70.06.80.97,02.41.69.71.65,Gestion libre : None  Taxe de séjour : Incluse Location draps : Inclus Ménage fin de séjour : 340 € Animaux : Admis Chèques vacances : Oui,"
45 couchages sur place dans longère restaurée au charme alliant avec finesse vieilles pierres et atmosphère très chaleureuse. Jardin clos avec longère et bâtisse dans un cadre verdoyant. Ce gite est idéal pour les mariages, anniversaires, grandes réunions de famille, sorties à thème. Tout équipé (draps, serviettes, produits ménagers, chauffages...). Parking privé, pas de limite d'horaires nocturnes."
Thomas' Ranch - Thom' House,12,254 km,254235,2 hours 24 mins,8642,2 hours 23 mins,8592,"Unnamed Road, 49330 Contigné, France","47.715479,-0.53698",http://www.grandsgites.com/gite-49-thom-house-1101.htm,,06.70.06.80.97,02.41.69.71.65,"Gestion libre : None Nuit + Petit-déj : + 7 €/pers.  Autres infos : En option :  Taxe de séjour : Incluse Location draps : Inclus Ménage fin de séjour : 120 € Animaux : Non admis, sauf chevaux Chèques vacances : Oui","
Sans limite d'horaires nocturnes, près des rives de la Sarthe, gîte de charme au coeur d'un ranch de 70 ha alliant avec finesse vieilles pierres et atmosphère très chaleureuse. Grand gîte tout confort avec cheminée dans la pièce de vie (80m²), véritable four à pain en fonctionnement dans le gîte pour cuire vos fouées. Levé de soleil sur les pairies. Profitez de notre élevage de chevaux américains quarter horse pour vous faire plaisir en équitation western. Selon la saison, soins aux animaux dont notre élevage de vaches Salers (aux longues cornes) et des animaux de la ferme."
Domaine la Batière,26,430 km,429842,3 hours 46 mins,13532,3 hours 43 mins,13371,"La Batière, 85200 Sérigné, France","46.499829,-0.872561",http://www.grandsgites.com/gite-85-batiere-1356.htm,,06.15.44.34.25,02.51.50.06.78,Gestion libre : N'hésitez pas à nous consulter pour un devis gratuit.  Taxe de séjour : Incluse Location draps : 15 € Ménage fin de séjour : 210 € (optionnel) Animaux : Admis avec accord du propriétaire Chèques vacances : Oui,"
Les gîtes sont situés en bordure de la rivière la Longèves avec vue surplombant cette magnifique vallée d'où se dégage une sensation de paix et de tranquillité. Dans le gîte la Bourrine une salle permet les repas en commun pour 26 personnes, la grande piscine de 12mx6m est couverte et chauffée et est baignable à partir de mi mars jusqu'à la Toussaint, l'eau y est maintenue à un minimum de 27° du 15 avril au 15 octobre, l'abri haut permet la circulation intérieure et le repos sur les bains de soleil. La piscine est privée aux groupes à partir de 18 personnes, vaste terrain de jeux, terrain de boules, table de ping pong."
