name,n_beds,distance_text,distance_value,duration_in_traffic_text,duration_in_traffic_value,duration_text,duration_value,full_direction,gps,internal_url,external_url,mobile,phone,price,description
Gite du château de Quesmy,15,135 km,134696,2 hours 5 mins,7505,1 hour 44 mins,6249,"78 Rue du Château, 60640 Quesmy, France","49.635328,3.063736",http://www.grandsgites.com/gite-60-chateau-quesmy-1585.htm,,06.11.08.42.76,03.44.43.33.97,Gestion libre : None  Autres infos : Le tarif semaine va du lundi au vendredi.  Taxe de séjour : Incluse Location draps : Inclus Ménage fin de séjour : 120 € Animaux : Admis Chèques vacances : Oui,"
Grand gîte très luxueux, chaque chambre a une salle de bain et WC, ainsi qu'une télévision. Cuisine intégrée plan de travail en granit noir. Piscine privée de 8h00 à 17h00 (partagée de 17 à 20h00) fermée après 20h00. Spa sur demande."
Ferme du Château,51,167 km,166811,2 hours 11 mins,7889,1 hour 56 mins,6966,"28 Ferme de Montmireil, 02000 Monampteuil, France","49.47833333,3.5736388888",http://www.grandsgites.com/gite-02-ferme-chateau-1153.htm,,,03.23.23.48.49,Gestion libre : None  Autres infos : None  Taxe de séjour : Incluse Location draps : Inclus Ménage fin de séjour : Inclus Animaux : Non admis Chèques vacances : Oui,"
Maison familiale de vacances avec piscine couverte et chauffée pour vos séjours en famille le temps d'un week-end, d'une semaine ou d'une nuit. Pension ou demi-pension pour vos séjours en groupe, vos séminaires et vos formations."
La Ferme du Phaël,40,232 km,231566,2 hours 44 mins,9817,2 hours 30 mins,8987,"5 Rue de l'Église, 80770 Beauchamps, France","50.018488, 1.508502",http://www.grandsgites.com/gite-80-ferme-phael-3239.htm,,,06.85.17.65.17,"Gestion libre : None  Autres infos : Sur demande petits déjeuners : 4 €/personne  Taxe de séjour : Incluse Location draps : 7 € Ménage fin de séjour : 150 € Animaux : Admis week-end 5 €, semaine 10 € Chèques vacances : Oui","
Ancienne ferme réaménagée en maison d'accueil pour touristes amoureux de la nature et du grand air. Au coeur de la Vallée de la Bresle avec ses étangs et la forêt d'EU, à quelques pas de la plage avec les stations balnéaires de Mers-les-Bains, Le Tréport, Ault mais aussi toute proche de la Baie de Somme, du parc de Marquenterre, de Saint Valéry sur Somme, du Crotoy ou de la pointe du Hourdel. Gite très calme et reposant ou vous pourrez vous retrouver en famille ou entre amis. Accueil également groupes de randonneurs, marcheurs cyclistes vététistes motards. Notre grande salle commune permet de vous réunir pour les repas et passer d'agréables soirées mais ensuite pour la nuit vous pourrez retrouver votre intimité dans chacun de nos gîtes ou chambres."
Canada Corner,15,249 km,249281,2 hours 58 mins,10654,2 hours 42 mins,9725,"205-251 Boulevard maritime S, 80790 Fort-Mahon-Plage, France","50.336936,1.549527",http://www.grandsgites.com/gite-80-canada-corner-904.htm,,06.98.32.40.15,06.98.32.40.15,"Gestion libre : None  Autres infos : Tarif semaine, charges comprises, du samedi 16h00 au samedi 10h00  Taxe de séjour : 0,80 €/pers./nuit Location draps : 50 € Ménage fin de séjour : 100 € Animaux : Non admis Chèques vacances : Non","
Vous serez séduit par la situation exceptionnelle de cette grande maison avec une terrasse sur la mer et une cour close et fleurie pour vos petits-déjeuners au soleil. Très confortable, vous en apprécierez également la décoration colorée et soignée. "
Les Gites de Pronleroy,20,110 km,110005,1 hour 43 mins,6181,1 hour 24 mins,5042,"20-22 Gr Grande Rue, 60190 Pronleroy, France","49.472735, 2.548165",http://www.grandsgites.com/gite-60-pronleroy-2682.htm,,,06.62.01.79.43 ,Gestion libre : None Nuit + Petit-déj : 55 à 65 €/pers./jour (2 pers. mini) Demi-pension : 65 à 75 €/pers./jour (10 pers. mini) hors boissons  Autres infos : Charges variables selon la saison :  Taxe de séjour : Incluse Location draps : 5 €/paire Ménage fin de séjour : 120 € Animaux : Admis Chèques vacances : Non,"
A 85 km de Paris, dans une ancienne ferme picarde datant du début du XVIIIème en pierre et briques, une longère et une grange entièrement rénovées tout en conservant le charme d'antan, avec des poutres apparentes et cheminées avec poêle à bois. Le lieu est idéal pour réunions de particuliers, professionnels, séminaires... Une grande porte cochère traditionnelle pour accéder sur la cour, où se trouvent les deux bâtiments avec petit jardin dans la cour intérieure, et un grand jardin d'environ 800 m² arboré et calme à l'arrière de la propriété. Une air de loisirs de la commune se situe juste derrière la propriété en accès direct, avec parc pour enfants, terrain de football, basket, ping-pong, pétanque. La région est très riche en lieux historiques et culturels. Les commerces les plus proches se situent à 2km, et l'on peut également se procurer des produits frais dans les fermes environnantes."
Le Moulin de Saint Victor,16,75.6 km,75600,1 hour 25 mins,5095,1 hour 6 mins,3965,"2001 Ferme du Moulin, 60300 Baron, France","49.168556, 2.725605",http://www.grandsgites.com/gite-60-moulin-st-victor-3325.htm,,,06.37.02.72.06,"Gestion libre : None Nuit + Petit-déj : None  Autres infos : Possibilité d'ajouter au maximum 4 matelas supplémentaires, moyennant 10 € par nuit et par personne supplémentaire.  Taxe de séjour : Incluse Location draps : Inclus Ménage fin de séjour : Inclus Animaux : Admis 3 € Chèques vacances : Non","
Bienvenue au Moulin de Saint Victor. Nous vous accueillons dans 2 gites, le Logis du Meunier et le Logis du Chasse-Manée. Ces deux structures peuvent être louées ensemble, un espace de vie commun permet de se retrouver pour les repas à 16 personnes. La situation mitoyenne des deux gites offre la possibilité de partager un séjour en famille ou entre amis et de profiter du confort des deux hébergements."
Domaine des Célestins,25,229 km,229375,2 hours 36 mins,9335,2 hours 20 mins,8416,"119 Rue de Bellevue, 80120 Bernay-en-Ponthieu, France","50.262346,1.749696",http://www.grandsgites.com/gite-80-domaine-celestins-2614.htm,,06.24.82.57.07,03.22.29.92.55,"Gestion libre : None  Autres infos : Possibilité de repas par le traiteur, vente de boissons sur place si besoin.
Possibilité de paniers petits déjeuners livrés à partir de 8 h 30 sur réservation au tarif de 10 €/pers ou 6 €/enfant - 12 ans  Taxe de séjour : Pas de taxe à ce jour, si cela change elle sera à votre charge. Location draps : Inclus (lits faits) Ménage fin de séjour : 180 € Animaux : Admis (2 maxi, tenus en laisse et pas d'accès aux chambres. Supplément de 5 €/chien/ nuit ou 25 €/chien/semaine) Chèques vacances : Oui","
Le Domaine des Célestins vous accueille à 10 km du Crotoy, 16 km de St Valéry sur somme, dans un cadre du XVIIème siècle et un havre de paix de 3 ha.
Dans le corps de ferme, nous vous proposons un gite de 15 pers ""la captive des sables"" composée d'une salle de 80 m² avec cuisine américaine semi-pro entièrement équipée, salle à manger pour jusque 25 personnes, salon cosy, grande cheminée. A côté salle de douche et wc séparé. Cette généreuse pièce de vie donne sur une terrasse de 100 m² avec salon de jardin, grand barbecue, et un jardin privatif de 0,4 ha avec un petit bois au fond où les enfants referont le monde."
Gîte de la Bergerie,18,230 km,230297,2 hours 43 mins,9751,2 hours 29 mins,8928,"12 Le Lieu Dieu, 80770 Beauchamps, France","50.005222,1.51939",http://www.grandsgites.com/gite-80-gite-bergerie-1067.htm,,,03.22.30.92.23,"Gestion libre : Idée de Budget par personne et par nuit :  Autres infos : Nous restons a votre entière disposition pour tout devis détaillé.  Taxe de séjour : Incluse Location draps : 7 € / personne
 Ménage fin de séjour : Avec supplément Animaux : Admis Chèques vacances : Oui","
Dans une grande propriété de 70 ha, une ancienne ferme cistercienne rénovée datant du 16ème siècle vous accueille. Diverses activités, équitation, balade à pied ou à vélo ainsi que la foret à 500 m vous attendent. La mer est à 12 km."
Maison Les Rainettes,22,165 km,164551,2 hours 16 mins,8166,1 hour 57 mins,7012,"10 Rue du Maréchal Leclerc, 80340 Sailly-le-Sec, France","49.921295,2.581808",http://www.grandsgites.com/gite-80-rainettes-1974.htm,,,03.22.75.02.43,"Gestion libre : Week-end de mars à octobre : 500 € Demi-pension : Nous consulter Pension complète : Nous consulter  Autres infos : Options possibles:  Taxe de séjour : 0,20 €/pers/nuit Location draps : Inclus Ménage fin de séjour : Week-end : inclus ; Semaine : 60 € Animaux : Admis Chèques vacances : Oui","
Au cœur d'un petit village, la maison les Rainettes est une ancienne maison bourgeoise entièrement restaurée pour y accueillir des groupes et des familles. Composée de chambre avec salle de bain pour la plupart et d'autre part d'un vaste espace à vivre salon / salle à manger cours intérieure. Une cuisine semi professionnelle est à disposition pour la préparation des repas. "
Gite du Tordoir,15,118 km,117844,1 hour 54 mins,6811,1 hour 34 mins,5647,"2 B Chemin du Tordoir, 60170 Saint-Crépin-aux-Bois, France","49.4309849,2.9725811",http://www.grandsgites.com/gite-60-tordoir-767.htm,,06.72.21.00.43,03.44.21.94.27,Gestion libre : None  Taxe de séjour : Incluse Location draps : Non inclus Ménage fin de séjour : Option ménage 90€ (facultatif) Animaux : None Chèques vacances : None,"
Ancienne ferme comprenant une salle de réception de 50m² avec cheminée en pierres, 6 tables, électro ménager, lave vaisselle, entourée de pâtures et à 2 pas de la forêt et du GR12a. Idéal pour fête et balades, randonnée à pieds, à vélo, à cheval, très beau cadre intérieur et extérieur, jardin 1000m², boxes et paddock. Accro branches à 8 km."
