name,n_beds,distance_text,distance_value,duration_in_traffic_text,duration_in_traffic_value,duration_text,duration_value,full_direction,gps,internal_url,external_url,mobile,phone,price,description
Le gite des Roussis,21,223 km,223150,2 hours 16 mins,8155,2 hours 10 mins,7826,"6-8 Route du Château (Montigny), 89630 Saint-Germain-des-Champs, France","47.392161,3.930524",http://www.grandsgites.com/gite-89-roussis-1113.htm,,06.27.82.8.692,03.86.34.53.28,"Gestion libre : None  Taxe de séjour : 0,76 €/pers./nuit Location draps : Inclus Ménage fin de séjour : 140 € Animaux : Admis 50 € Chèques vacances : Non","
""Le gîte des Roussis"" vous ouvre ses portes. Rénovée par Alexandre en 2010, cette ancienne grange morvandelle est aujourd'hui un beau et grand gîte classé ***** destiné à vous accueillir toute l'année pour un séjour festif en famille ou entre amis. Dans une nature préservée, vous goûterez une paix et des senteurs oubliées et vous vous réveillerez salués par le chant des oiseaux. "
Gite du Moulin Charny,23,133 km,133475,1 hour 26 mins,5168,1 hour 21 mins,4843,"4 D950, 89120 Charny-Orée-de-Puisaye, France","47.885225, 3.095376",http://www.grandsgites.com/gite-89-moulin-charny-2883.htm,,,07.85.56.12.37,"Gestion libre : None  Autres infos : Nous contacter pour tout devis personnalisé.  Taxe de séjour : 0,60 €/nuit/pers. Location draps : 5 € Ménage fin de séjour : 100 € Animaux : Admis Chèques vacances : Non","
Grand gîte sur 2 étages pouvant accueillir jusqu'à 23 personnes. Entièrement refait à neuf an 2015. Situé en plein centre d'un petit village de Bourgogne à 200 m de tous commerces. Boulangeries, épiceries, restaurants, supermarché, traiteur et salle de réception, piscine municipale, plan d'eau. Sur la route des vins entre Beaune et Chablis à seulement 1h30 de Paris. Proche du château Guedelon et de Saint Fargeau. Idéal pour un séjour en famille ou entre amis. Jardin clos de 300 m² à disposition."
Relais de Pays,30,233 km,233273,2 hours 12 mins,7931,2 hours 6 mins,7567,"4 Rue de L Hôtel de ville, 21390 Précy-sous-Thil, France","47.3869243,4.3089581",http://www.grandsgites.com/gite-21-relais-pays-374.htm,,,03.80.64.57.18,"Gestion libre : None  Taxe de séjour : 0,20 €/nuit/adulte + 16 ans Location draps : Non Ménage fin de séjour : 60 € en option Animaux : Non Chèques vacances : Oui","
Hébergement de groupes en gestion libre situé au coeur de la Bourgogne dans un cadre agréable près des équipements sportifs et de loisirs (Tennis, Golf, Escalade). "
Gîte d'étape Le Bois Guillaume,20,148 km,147759,1 hour 40 mins,5983,1 hour 34 mins,5663,"Bois de Guillaume, 89350 Villeneuve-les-Genêts, France","47.758372,3.099828",http://www.grandsgites.com/gite-89-bois-guillaume-1879.htm,,,03.86.45.45.41,"Gestion libre : None  Autres infos : Propositions de menus au restaurant ou à emporter pour les groupes sur demande.  Taxe de séjour : 0,60 €/nuit/adulte Location draps : 7 €/lit Ménage fin de séjour : 75 € Animaux : Admis avec supplément Chèques vacances : Oui","
Gîte situé sur un terrain de camping 4 étoiles composé de 80 emplacements, disposant de mobile-home et chalets à louer, d'un bar, restaurant, terrasse, piscine (accessible de mi juin à mi septembre), à 3,5 km du village, dans un bois. Wifi accessible en terrasse ou au bar. Vous pourrez y apprécier le calme, la nature, le chant des oiseaux... un parcours d'orientation vous permet de découvrir le site de 7 hectares. Si vous êtes sportif, pensez à prendre vos raquettes de tennis, ping-pong ou vos ballons de volley, boules de pétanque... Nous vous accueillerons dans une ambiance familiale et conviviale. Un barbecue et des tables-bancs vous permettront de profiter d'un espace extérieur verdoyant dès les beaux jours."
Gîte des Roches,30,237 km,237476,2 hours 30 mins,8995,2 hours 25 mins,8711,"2 Rue des Teuraux, 58140 Lormes, France","47.2864163,3.8198411",http://www.grandsgites.com/gite-58-roches-272.htm,,06.79.15.19.33,03.86.22.80.17,"Gestion libre : None  Autres infos : Plus d'infos sur les tarifs sur notre site Internet.  Taxe de séjour : 0,27 € / nuit et personne
 Location draps : 4,50 € Ménage fin de séjour : Inclus Animaux : Oui avec supplément 2 € Chèques vacances : Oui","
Le Gîte des Roches est situé au bord de Lormes, sur un terrain de 2000 m², bien aménagé avec des tables de pique-nique, un barbecue et une table de ping-pong. Le gîte peut accueillir 30 personnes."
Les Collines de Chevigny,25,239 km,239483,2 hours 17 mins,8223,2 hours 11 mins,7862,"11 Grande Rue, 21140 Millery, France","47.5293217,4.3380922",http://www.grandsgites.com/gite-21-collines-chevigny-161.htm,,,03.80.97.03.74,Nuit + Petit-déj : 25 €/pers./nuit  Autres infos : Groupe de 25 personnes maximum  Taxe de séjour : Incluse Location draps : 5 €/paire Ménage fin de séjour : 50 € Animaux : Oui Chèques vacances : Non,"
A 5 km de la petite ville médiévale de Semur en Auxois (tous commerces), 7 gîtes indépendants sur la même propriété avec piscine en été. "
Au Clos des Feuillantines,20,210 km,210424,2 hours 8 mins,7707,2 hours 3 mins,7389,"63 Grande Rue, 89160 Argenteuil-sur-Armançon, France","47.759214,4.1028",http://www.grandsgites.com/gite-89-clos-feuillantines-1167.htm,,06.12.36.42.84,03.86.75.04.84,"Gestion libre : None  Autres infos : Basse saison : janvier, février  Taxe de séjour : None Location draps : Inclus Ménage fin de séjour : Inclus Animaux : Non admis Chèques vacances : Oui","
En terre Bourguignonne, proche des vignobles de Chablis, découvrez cette très belle propriété mitoyenne avec les propriétaires mais avec une entrée indépendante. Entièrement rénovée pouvant vous accueillir de 10 à 20 personnes, la maison est composée de 2 parties. Une grande partie pouvant accueillir 15 couchages avec une très belle pièce à vivre lumineuse pour 20 convives, 1 cuisine équipée, 5 chambres, 5 salles de bain et 6 WC. Une annexe attenante pouvant accueillir 5 personnes avec 1 salon, 2 chambres et 1 salle de bain. Nous proposons une formule avec lits faits à votre arrivée et ménage fin de séjour compris sauf cuisine.
Grand espace vert avec piscine 9x4m commune aux 2 maisons et aux propriétaires qui n'y vont pas quand il y a un groupe. Terrasse privée avec salon de jardin et barbecue. Aire de jeux pour les enfants
Parking dans la propriété. Nombreux sites touristiques aux alentours proches , châteaux , abbayes , basiliques. Le chemin de halage restauré en 2014 vous attend pour des promenades cyclistes ou pédestres en famille ou entre amis."
Gites de la Bretonnière,22,258 km,257963,2 hours 36 mins,9342,2 hours 30 mins,8987,"15A Route de Baigneux, 21150 Bussy-le-Grand, France","47.574792,4.558275",http://www.grandsgites.com/gite-21-bretonniere-1489.htm,,06.70.18.15.07,03.80.89.55.81,"Gestion libre : None  Autres infos : Ménage fin de séjour : 70 à 95 € selon le gite.  Taxe de séjour : 0,60 €/pers./nuit Location draps : Inclus Ménage fin de séjour : 70 à 95 € selon le gîte Animaux : Non admis Chèques vacances : Non","
Au bord d'un étang, deux gîtes contigus et communiquants entre eux d'une capacité totale de 22 personnes, situés dans une ferme isolée du XIXème siècle, dans la vallée de Rabutin en pays d'Auxois-Morvan côte d'Orien en Bourgogne. Neuf chambres doubles avec salle d'eau, WC, dont une chambre pouvant accueillir une personne handicapée. Draps et linge de toilette fournis. Les deux gîtes possèdent chacun une grande pièce à vivre avec cuisine totalement équipée, salon, cheminée et jardin privatif."
La Maison du Moulin,28,133 km,133289,1 hour 25 mins,5127,1 hour 20 mins,4802,"1 Rue Gambetta, 89120 Charny-Orée-de-Puisaye, France","47.886697, 3.096557",http://www.grandsgites.com/gite-89-maison-moulin-3492.htm,,06.79.18.61.82,07.85.56.12.37,"Gestion libre : None  Autres infos : Pour les week-end de jour férié / Ponts, location de 3 nuits minimum  Taxe de séjour : 0,60 €/nuit/adulte Location draps : 5 €/lit simple ; 10 €/lit double Ménage fin de séjour : Inclus Animaux : Admis 10 € Chèques vacances : Non","
Au cœur de la Bourgogne en Puisaye sur la route des vins entre Beaune et Chablis, près de l'incontournable château de Guédelon, deux gîtes séparés d'une cour commune pouvant accueillir jusqu'à 28 personnes. Les deux gites sont en cours de rénovation, fin des travaux mi-mars 2017. Le lieu est idéal pour les groupes d'amis et les familles. Etant également Traiteur dans le centre de Charny, nous disposons aussi d'une salle de réception entièrement équipée pour toutes vos réceptions: mariages, cousinades, anniversaires... Cette salle pouvant accueillir de 40 à 120 personnes. Nous vous proposons également un service traiteur en livraison aux gîtes."
Château de Gérigny,20,208 km,208113,2 hours 9 mins,7737,2 hours 1 min,7286,"Unnamed Road, 18140 Saint-Léger-le-Petit, France","47.1149,3.0143",http://www.grandsgites.com/gite-58-chateau-gerigny-1071.htm,,,06.82.28.18.76,"Gestion libre : None  Taxe de séjour : Incluse
 Location draps : Inclus Ménage fin de séjour : Inclus Animaux : Admis sous conditions Chèques vacances : Non","
Idéal pour des retrouvailles, le château est une grande maison de famille de 500m², hors du temps, dans laquelle vous vous sentirez comme chez vous. A chaque pièce son ambiance. Vous changez d’époque en passant des salons au séjour en empruntant  les escaliers à vis ou en bois. Tout est prévu pour votre confort : lits faits, linge et nécessaire de toilette, choix de vaisselle, ingrédients pour le petit déjeuner, bois pour la cheminée et autres services sur demande. Vous pourrez aussi profiter du soleil en terrasse, du barbecue et flâner dans le parc."
