name,n_beds,distance_text,distance_value,duration_in_traffic_text,duration_in_traffic_value,duration_text,duration_value,full_direction,gps,internal_url,external_url,mobile,phone,price,description
Ferme du Canal,28,147 km,147407,1 hour 56 mins,6983,1 hour 49 mins,6542,"9 Rue des Martyrs de la Liberati, 10170 Méry-sur-Seine, France","48.511228,3.890645",http://www.grandsgites.com/gite-10-ferme-canal-2509.htm,,,03.25.21.24.33,"Gestion libre : None  Autres infos : Une adhésion annuelle de 20 € est demandée au nom de la personne qui a réservé pour le groupe.  Taxe de séjour : Incluse Location draps : 4,60 €/paire Ménage fin de séjour : 19 €/h Animaux : Admis Chèques vacances : Oui","
Le Gîte Loisirs Méry est une association qui propose la location de la ferme du canal gîte d'étape  en Champagne, dans le village de Méry-sur-Seine, à 30 km de Troyes et 50 km de Provins. Ce gîte est indépendant et ne peut pas être réuni avec l'autre grand gîte de groupe de 60 places qui n'est pas à la même adresse. La ferme du canal est clôturé, vous apprécierez le confort et la propreté. Sur place et sur réservation auprès de l'association, vous pourrez pratiquer: l'équitation dans notre centre équestre situé à 100 mètres et qui est indépendant du gîte, parcourir la vélo-voie qui traverse le village sur votre bicyclette ou faire du Tir à l'arc et enfin profiter des nombreuses visites touristiques à découvrir."
Ferme de la Renaissance,26,145 km,144555,1 hour 39 mins,5910,1 hour 32 mins,5518,"51 Rue Caroujat Borgniat, 10190 Estissac, France","48.251315, 3.820222",http://www.grandsgites.com/gite-10-ferme-renaissance-2462.htm,,,03.25.40.45.81,Gestion libre : None Demi-pension : Nous consulter  Autres infos : Possibilité de louer la salle de restaurant au rez de chaussée en gestion libre (60 pers.):  Taxe de séjour : Incluse Location draps : Inclus Ménage fin de séjour : 50 € Animaux : Admis Chèques vacances : Non,"
Au cœur du pays d’Othe, à 20 mn de Troyes et 1h30 de Paris, la Ferme de la Renaissance est l’endroit idéal pour se  ressourcer et profiter des activités de plein air (équestres, randonnée pédestre, VTT cyclo). Cette  bâtisse dans le pur style Champenois (briques, craies et poutres en chêne) est l’endroit parfait pour vos week-ends en amoureux, réunions de famille, séminaire, classe verte et centre aéré. Centre équestre et crêperie sur place.
"
La Grange et La Renardière,29,130 km,130094,1 hour 55 mins,6908,1 hour 40 mins,6012,"36 Rue de la Libération, 51270 Champaubert, France","48.879461, 3.776567",http://www.grandsgites.com/gite-51-grange-renardiere-2612.htm,,06.64.26.88.46,03.26.52.74.21,"Gestion libre : Nous consulter  Autres infos : Possibilité de repas traiteur.  Taxe de séjour : None Location draps : Simple 7 € ; Double 10 € Ménage fin de séjour : Inclus Animaux : Admis sous réserve, nous consulter. Chèques vacances : Non","
Située dans la Marne, en Champagne, La Grange et La Renardière, ce sont 2 gîtes mitoyens pour une capacité totale de 29 couchages. Le Grange est aménagée dans une grange entièrement restaurée de l’ancienne ferme familiale. Le lieu est idéal pour les fêtes de famille ou pour les réunions entre amis. Possibilité de louer une salle de 150m² pour 85 personnes assises."
Perle de l'Aube,20,198 km,198249,2 hours 10 mins,7805,2 hours 3 mins,7385,"25 Rue Grande Rue, 10500 Précy-Notre-Dame, France","48.406685, 4.439105",http://www.grandsgites.com/gite-10-perle-aube-3231.htm,,,06.07.58.12.97,Gestion libre : Nous consulter  Autres infos : Nous consulter pour un tarif précis suivant le nombre de personne et la saison.  Taxe de séjour : Non incluse Location draps : 8 € Ménage fin de séjour : 100 € Animaux : Admis Chèques vacances : Non,"
La grande maison de style champenoise en pan de bois et le gite sont situés sur un domaine  de 3 hectares, en bord d'une forêt et d'une  rivière ""l'Aube"" dans le périmètre de la forêt de l'orient, près des lacs. Le domaine met à disposition une salle de réception avec une grande table médiévale pour prendre les repas pouvant accueillir 20 personnes et sa cuisine avec de la place pour danser sur place. Possibilité d'utiliser le barbecue extérieur ou la cheminée intérieur pour griller des cotes de sanglier ou de boeuf. Des traiteurs bio proposent des repas avec les produits de la région à des prix très attractifs. Possibilité de prendre l’apéro sur la terrasse couverte extérieure. Le domaine possède une piscine couverte de 15 x 5 m.
Les  lieux sont  proche  des lacs de la forêt d’orient, à 30 mn de Troyes et 15 mn du parc de Nygloland. A 2 mn vous trouverez une ancienne base militaire transformée pour les sports de delta plane et de  parachutisme et à 12 mns un park accrobranche. Il est également possible de pêcher dans la rivière au bord du domaine ou dans les lacs."
Gîtes des Ecuries de Chamery,28,163 km,162602,1 hour 54 mins,6812,1 hour 39 mins,5932,"D22, 51500 Chamery, France","49.173666,3.974582",http://www.grandsgites.com/gite-51-ecuries-chamery-1404.htm,,06.87.96.70.69,09.79.06.46.16,"Gestion libre : None  Autres infos : Tarifs gîte 1 chambre: de 300 € le week-end, 350 € le mid-week et 450 € la semaine.  Taxe de séjour : None Location draps : Inclus (lits faits à l'arrivée) Ménage fin de séjour : 25 € Animaux : Non admis Chèques vacances : Oui","
Notre structure se compose de 2 bâtiments séparés au sein d'infrastructures équestres à quelques km de Reims, capitale du champagne. Ils bénéficient tous d'un accès à une piscine intérieure chauffée toute l'année de 9 x 4m. 1er bâtiment à ossature bois: 3 gites de chacun 45 m² pouvant accueillir 4 personnes, composé chacun d'1 chambre avec 2 lits de 1 personne et un clic-clac dans le séjour, salle de bain, cuisine américaine équipée, terrasse individuelle de 20 m², télévision, lave-vaisselle, micro-ondes, wi-fi."
Château de Vaux,23,185 km,185069,1 hour 59 mins,7116,1 hour 52 mins,6714,"Vaux, 10260 Fouchères, France","48.124673, 4.263018",http://www.grandsgites.com/gite-10-chateau-vaux-2861.htm,,,06.33.33.57.94,"Gestion libre : None  Autres infos : Gîtes ouverts toute l'année sans aucun supplément. Tarifs comprenant toutes taxes de séjours, de chauffage, d'eau et d'électricité.  Taxe de séjour : Incluse Location draps : 10 € Ménage fin de séjour : 60 € Animaux : Admis Chèques vacances : Non","
Le gite du Château et le gite de la Ferme sont implantés dans l'enceinte même d'un vaste domaine historique du XVIII ème siècle. Ces deux gites sont disponibles toute l'année pour une location couplée ou séparée en fonction du nombre de convives (de 6 à 23 personnes). Idéalement situés dans un cadre idyllique au milieu d'un incroyable espace naturel préservé, l'accès au Château se fait directement depuis N71 Troyes-Dijon proche du petit village de Fouchères. À 20 mn de Troyes, 15 mn du Lac de la forêt d'Orient, 10 mn du péage A5 et 5 mn du vignoble de la Côte des Bar, ce gîte est l'endroit idéal pour profiter d'un week-end à la campagne tout en profitant de multiples activités (baignade, équitation, golf, tourisme, oenotourisme, chasse)."
Gite du Pont Château de Charbogne,26,220 km,220301,2 hours 37 mins,9440,2 hours 22 mins,8516,"13 Gr Grande Rue, 08130 Charbogne, France","49.501184, 4.587831",http://www.grandsgites.com/gite-08-pont-charbogne-3134.htm,,06.03.47.53.39,03.24.30.18.56,Gestion libre : None  Autres infos : Tarifs adaptés pour les petits groupes jusqu'à 14 personnes  Taxe de séjour : Pas de taxe Location draps : Inclus Ménage fin de séjour : Inclus Animaux : Non admis Chèques vacances : Oui,"
Venez vous ressourcer dans notre château du XVIème siècle. Situé dans le village de Charbogne, petit havre de paix au sud du département des Ardennes.
Notre gîte du pont, très confortable est équipé d'une piscine couverte et chauffée toute l'année. 
12 chambres doubles avec salle d'eau et des toilettes et 1 chambre double (sans sanitaires). Détendez-vous au coin du feu dans la vaste salle à manger... Prenez du temps pour vous ressourcer...
Profitez de moments conviviaux en famille ou entre amis. Le gîte dispose d'une cuisine équipée pour les groupes. Aux beaux jours, profitez de la terrasse surplombant les douves. Possibilité de faire un barbecue. A partager avec l'autre gîte : une table de ping-pong, un portique, un terrain de pétanque.
"
La Carandace,20,173 km,173099,2 hours 2 mins,7343,1 hour 47 mins,6434,"2 D966, 51110 Auménancourt, France","49.3800864,4.0380707",http://www.grandsgites.com/gite-51-carandace-837.htm,,06.37.15.58.38,03.26.97.53.69,Gestion libre : None  Autres infos : Week-end du vendredi 16h au dimanche 10h  Taxe de séjour : Incluse Location draps : Inclus Ménage fin de séjour : Inclus Animaux : Non admis Chèques vacances : Non,"
Gite aménagé dans les anciens étable, bergerie et grenier à foin.
Florence et Jérôme vous accueillent, toute l'année, dans une ferme céréalière, cadre clos, fleuri et calme à 10 km au Nord de Reims (D966 Reims-Bruxelles) dans le Pays Rémois aux confluents de 3 départements (Marne-Aisne-Ardennes) et 2 régions (Champagne-Ardenne et Picardie). Les lits sont faits à votre arrivée. A votre écoute pour répondre au mieux à vos besoins ou souhaits pour rendre votre séjour le plus agréable."
Maison des Officiers,20,227 km,226972,2 hours 37 mins,9401,2 hours 29 mins,8937,"4 Place Auguste Lebon, 52220 Montier-en-Der, France","48.478458,4.77056",http://www.grandsgites.com/gite-52-maison-officiers-1417.htm,,07.86.16.95.39,03.25.06.57.70,"Gestion libre : None  Autres infos : Petit déjeuner : 8 €  Taxe de séjour : 0,45 €/pers./nuit Location draps : Inclus Ménage fin de séjour : Inclus Animaux : Non admis Chèques vacances : Oui","
La Maison des Officiers se situe dans le Haras National de Montier en Der, à quelques minutes du Lac du Der. Nous vous proposons également une salle multi-activités avec cuisine pour vos réunions, vin d'honneur, repas de famille, ainsi que la cour d'honneur et son jardin idéal pour vos photos de mariage."
Gîte la Champenoise,22,168 km,167553,1 hour 58 mins,7056,1 hour 42 mins,6147,"9 Rue de Verdun, 51220 Loivre, France","49.343757, 3.986400",http://www.grandsgites.com/gite-51-champenoise-3473.htm,,06.33.28.13.62,03.20.50.33.24,"Gestion libre : Tarif week-end 2 nuits :
  Taxe de séjour : Incluse Location draps : Inclus Ménage fin de séjour : Inclus Animaux : Non admis Chèques vacances : Non","
Bienvenue au gîte la Champenoise, composé de 2 maisons meublées à proximité immédiate de Reims, dans le village de Loivre. Les maisons sont neuves, confortable et très bien équipées. ATTENTION : La salle à manger est limité à 12 couverts à table. Il n'y a pas de grande pièce, au delà de 12 personnes il faut prévoir une restauration extérieur. Ce lieu n'est pas adapté pour faire la fête. Avec ces huits chambres, c'est le lieu idéal pour loger des salariés, amis et famille."
Gite le Gnomon,23,160 km,160450,2 hours 20 mins,8402,2 hours 5 mins,7473,"24 Gr Grande Rue, 51130 Germinon, France","48.8764259,4.1564745",http://www.grandsgites.com/gite-51-gnomon-525.htm,,06.15.85.32.62,03.26.70.25.56,"Gestion libre : None  Autres infos : La remise des clefs se fait entre 16h00 ET 19h00 au plus tard (pas d'accueil après 19H).  Taxe de séjour : Incluse Location draps : 8,50 €/lit Ménage fin de séjour : Inclus Animaux : Non admis Chèques vacances : Non","
A 10 Km du vignoble ""côte des blancs"" fermette indépendante de 1818, rénovée, d'une superficie de 445m² équipée normes de  sécurité et handicapés."
