name,n_beds,distance_text,distance_value,duration_in_traffic_text,duration_in_traffic_value,duration_text,duration_value,full_direction,gps,internal_url,external_url,mobile,phone,price,description
Le Moulin du Bas Coudray,29,267 km,266948.0,2 hours 21 mins,8475.0,2 hours 20 mins,8384.0,"Passage À Niveau de Lesnaudie, 53940 Le Genest-Saint-Isle, France","48.091713,-0.902716",http://www.grandsgites.com/gite-53-bas-coudray-2429.htm,,06.86.69.77.37,02.43.02.13.99,Gestion libre : None  Taxe de séjour : Incluse Location draps : Non inclus Ménage fin de séjour : Non inclus Animaux : Admis Chèques vacances : Oui,"
Bienvenue au gite du Bas Coudray, un ancien moulin au bord du Vicoin dans la campagne Genestoise. Vous apprécierez sans doute le plancher vitré du salon permettant de voir passer l'eau sous ses pieds. Le site est verdoyant, reposant calme, la roue du moulin tourne au gré du courant, le lieu est idéal pour se retrouver en famille, profiter de ses amis et faire la fête. Un chapiteau pouvant accueillir 130 personnes est disponible. Piscine chauffée semi couverte 10 x 5m en option à partager avec les propriétaires."
Manoir du Gravier,22,224 km,223997.0,1 hour 59 mins,7164.0,1 hour 59 mins,7120.0,"72800 Aubigné-Racan, France","47.672869,0.264407",http://www.grandsgites.com/gite-72-manoir-gravier-2500.htm,,06.46.25.51.35,02.43.46.20.61,"Gestion libre : None  Autres infos : Les lits sont faits à votre arrivée.  Taxe de séjour : 0,55 €/pers./nuit Location draps : Inclus Ménage fin de séjour : 120 € Animaux : Admis Chèques vacances : Non","
Bienvenue au Manoir du Gravier où nous vous accueillons avec plaisir le temps d'un week-end pour faire une pause ou pour une semaine de vacances. Notre manoir du XVIII siècle a été restauré et dispose du confort nécessaire pour votre plaisir. A l'extérieur, un parc avec étang, une piscine privée, une table de ping-pong, un baby-foot et encore d'autres équipements vous attendent.  "
Gîte Le petit Greffier,27,155 km,155056.0,1 hour 31 mins,5487.0,1 hour 31 mins,5442.0,"Le Petit Greffier, 72160 Tuffé, France","48.125211, 0.524040",http://www.grandsgites.com/gite-72-petit-greffier-3348.htm,,06.09.35.71.25,02.43.76.61.18,Gestion libre : None  Taxe de séjour : Incluse Location draps : 9 € Ménage fin de séjour : Inclus Animaux : Admis Chèques vacances : Oui,"
Gîte Le Petit Greffier situé à Tuffé dans la Sarthe à 30 km du Mans avec une piscine chauffée, ouverte du 1er mai au 30 septembre. C'est un endroit idéal pour vos réceptions familiales, professionnelles ou vacances. Salle de 35 personnes avec tables, cuisine toute équipée, vaisselle, 9 chambres, 8 salles de Bain. Location semaine ou week-end."
Le Chêne Vert,27,240 km,240457.0,2 hours 5 mins,7515.0,2 hours 4 mins,7446.0,"1000 Le Chêne Vert, 53270 Chammes, France","48.068483, -0.412263",http://www.grandsgites.com/gite-53-lechenevert-2638.htm,,06.83.35.41.80,02.43.01.41.12,Gestion libre : None  None None None Mars et avril 2017 : remise de 10 % (sauf week-end de Pâques).  Autres infos : Chauffage en supplément basé sur le relevé de compteur EDF.  Taxe de séjour : None Location draps : 7 € Ménage fin de séjour : 150 € Animaux : Admis Chèques vacances : Oui,"
Au cœur de la campagne Mayennaise, Anne et Patrick vous accueillent dans un gite de séjour chaleureux récemment rénové. Les chambres, pleines de charme mariant contemporain et ancien sont nichées dans d’anciennes étables en pierre typiques de la région. 10 chambres et 10 salles de bain avec toilette, douche et lavabo pour une capacité de 27 couchages. Piscine niché au sein d'un jardin d’agrément. Un cadre calme et verdoyant idéal pour vos fêtes de famille ou entre amis et vos vacances. Situé à 6 km de Sainte Suzanne classé plus beau village de France. Accessible en 10 mn de l'A81 (sortie Vaiges). Proche de toutes commodités.  "
Le Domaine des Hallais,30,232 km,231885.0,2 hours 8 mins,7704.0,2 hours 7 mins,7649.0,"Les Halais, 53270 Saint-Pierre-sur-Erve, France","47.996493,-0.402331",http://www.grandsgites.com/gite-53-domaine-des-hallais-45.htm,,,02.43.91.77.69," Autres infos : None  Taxe de séjour : 0,70 €/nuit/adulte Location draps : Inclus Ménage fin de séjour : Inclus Animaux : Non Chèques vacances : Non","
Un hébergement de qualité. Idéal pour les anniversaires, les stages et séminaires ou les vacances en famille ou réunions entre amis. En pleine campagne, calme et rurale. Aménagé avec goût et attention à tous les petits détails. Restauration sur place, piscine d'intérieur, une salle de conférence/activité: réception de 55 m², wifi gratuit, bar, grand salon et salle à manger. Idéal pour les vacances musicales, pour les chorales et les joueurs de musique de tous types avec 2 pianos. Table de tennis intérieur et terrain de pétanque. Hébergement à 45mn du circuit du Mans et toutes ses manifestations. 35mn à Laval. 5mn à pied aux célèbres grottes de Saulges et la jolie rivière de l'Erve."
Thomas' Ranch,26,254 km,254267.0,2 hours 24 mins,8648.0,2 hours 23 mins,8597.0,"Unnamed Road, 49330 Contigné, France","47.716388,-0.537111",http://www.grandsgites.com/gite-49-thomas-ranch-1107.htm,,06.70.06.80.97,02.41.69.71.65,"Gestion libre : Thom' House 12 couchages : Nuit + Petit-déj : + 7 €/pers.  Autres infos : En option :  Taxe de séjour : Incluse Location draps : Inclus Ménage fin de séjour : 120 € par gîte Animaux : Non admis, sauf chevaux Chèques vacances : Oui","
A 1h30 de Paris en TGV et à 15 mn de l'A11, deux gîtes de charme au coeur d'un ranch de 70 ha. Profitez de notre élevage de chevaux américains Quarter Horse pour vous faire plaisir en équitation western. Egalement sur place, élevage de vaches Salers et animaux de la ferme. Thomas' Ranch est le lieu idéal pour les anniversaires, les réunions de famille, séminaires, sorties motos... Un cadre surprenant pour vos soirées country (groupe de country à la demande), vos soirées festives ou vos soirées fouées (gastronomie traditionnelle angevine)."
Gîte de Valifer,25,218 km,218274.0,1 hour 55 mins,6902.0,1 hour 54 mins,6846.0,"Valifer, 72350 Saint-Denis-d'Orques, France","48.030769,-0.242466",http://www.grandsgites.com/gite-72-valifer-152.htm,,,06.95.87.94.15,"Gestion libre : None  Autres infos : Location forfaitaire pour un week-end ordinaire (du vendredi 17h au dimanche 18h, horaires flexibles selon disponibilités), un week-end prolongé (Pentecôte, Nouvel An, etc...), un midweek (lundi au vendredi) ou à la semaine.   Taxe de séjour : Non incluse Location draps : Non Ménage fin de séjour : 80 € Animaux : Oui Chèques vacances : Oui","
Ferme de charme rénovée, isolée en pleine campagne, à 2 h de Paris et 35 mn du Mans. Grande salle accueillant jusqu’à 30 personnes et hébergements pour 25 personnes (6 chambres et studios). Service traiteur proposé et loisirs de groupe au gite. "
Les Peupliers,21,285 km,284718.0,2 hours 31 mins,9056.0,2 hours 29 mins,8955.0,"La Morinais, 53500 Montenay, France","48.291347, -0.873964",http://www.grandsgites.com/gite-53-peupliers-2381.htm,,06.31.59.02.67,02.43.05.84.10,Gestion libre : None  Taxe de séjour : Incluse Location draps : Non inclus Ménage fin de séjour : 85 € facultatif Animaux : Admis Chèques vacances : Non,"
Bienvenue au gite Les Peupliers. Nous vous accueillons le temps d'un week-end, d'une semaine ou selon votre convenance. Nous sommes situés aux portes de la Bretagne dans un petit village où nature, calme et confort font bon ménage. Le gite est adapté pour les fêtes, anniversaires, mariages, cousinades, sono incorporée avec jeux de lumières intérieure et extérieure, possibilité feux de camp et feux d'artifice, nous sommes dans un gite isolé, tout est permis."
Ferme des Orques,20,218 km,217933.0,1 hour 56 mins,6972.0,1 hour 55 mins,6918.0,"72350 Saint-Denis-d'Orques, France","48.035970, -0.271642",http://www.grandsgites.com/gite-72-ferme-orques-2783.htm,,,06.95.87.94.15,"Gestion libre : None  Autres infos : Location forfaitaire pour un week-end ordinaire (du vendredi 17h au dimanche 18h, horaires flexibles selon disponibilités), un week-end prolongé (Pentecôte, Nouvel An, etc...), un midweek (lundi au vendredi) ou à la semaine.  Taxe de séjour : Non incluse Location draps : Non inclus Ménage fin de séjour : 80 € Animaux : Oui Chèques vacances : Oui","
A 2h de Paris et de Nantes, entre le Mans et Laval, la Ferme des Orques est un grand gîte familial de charme entièrement rénové en 2013, en pleine campagne sarthoise. Le gîte comporte une belle salle de 50 m² avec poutres et pierres apparentes pouvant accueillir 20 personnes. La salle dispose également d’un coin salon aménagé avec son poêle à bois, pour lequel nous vous fournissons gratuitement le bois. Le gîte peut héberger 15 personnes au sein de ses 5 chambres. Une roulotte pourra être gracieusement mise à votre disposition dans la cour du gîte. Elle comporte 5 couchages supplémentaires. Nous proposons des services traiteur, de la location de matériel, ainsi que des loisirs de groupe en journée ou en soirée au gîte (laser-game de plein air, course de radeaux, baby-foot humain...)."
Gîte de la Farfolière,24,233 km,233355.0,2 hours 13 mins,7953.0,2 hours 11 mins,7860.0,"Unnamed Road, 72300 Sablé-sur-Sarthe, France","47.8329320,-0.3494811",http://www.grandsgites.com/gite-72-la-farfoliere-509.htm,,,02.43.95.00.31,"Gestion libre : None Nuit : 17 €/pers. Nuit + Petit-déj : 19,50 €/pers. Demi-pension : 29 €/pers. Pension complète : 37 €/pers.  Autres infos : Nuitée en mobil-home : 14€/pers./nuitée en semaine  Taxe de séjour : Incluse Location draps : 4,5 € Ménage fin de séjour : 125 € petite salle Animaux : Non Chèques vacances : Non","
A deux pas du coeur de la ville de Sablé sur Sarthe dans un cadre authentique, laissez-vous séduire par le charme des lieux, ses salles en pierres et poutres apparentes, ses chambres spacieuses. Le gite la Farfolière vous accueille en groupe, en famille, pour vos évènements festifs...."
